	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP
892	take three four more steps more	6	[2, 3]	[{steps, more}, {more, three, four}]	['take', 'take']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
893	and then again take a turn towards your right	9	[4, 2]	[{turn, again, then, and}, {a, towards}]	['take', 'take']	[1, 1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'towards']	[1, 1]	['ADP']
894	and then walk straight	4	[3]	[{then, straight, and}]	['walk']	[1]	['VERB']	[]	[]	[]	[]	[]
895	you reach the destination	4	[2]	[{destination, you}]	['reach']	[1]	['VERB']	[1]	[{the}]	['reach']	[1]	['VERB']
896	turn by an angle of ninety degrees towards your right	10	[3]	[{towards, an, of}]	['by']	[1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {ninety}, {right}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
897	and then walk few steps	5	[3]	[{steps, and, then}]	['walk']	[1]	['VERB']	[1]	[{few}]	['walk']	[1]	['VERB']
898	and you will reach the destination	6	[4]	[{you, and, will, destination}]	['reach']	[1]	['VERB']	[1]	[{the}]	['reach']	[1]	['VERB']
899	turn by an angle of one thirty five degrees towards your right	12	[3, 2]	[{of, towards, an}, {one, thirty}]	['by', 'degrees']	[1, 1]	['NOUN']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {five}, {right}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
900	and then walk straight you will reach the proper spot that is the destination	14	[4, 3, 3, 2]	[{straight, then, and, reach}, {you, spot, will}, {is, the, proper}, {that, destination}]	['walk', 'walk', 'reach', 'spot']	[1, 1, 1, 1]	['NOUN']	[1]	[{the}]	['is']	[1]	['VERB']
901	turn by an angle of one thirty five degrees toward your left	12	[3, 2]	[{an, toward, of}, {one, thirty}]	['by', 'degrees']	[1, 1]	['NOUN']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {five}, {left}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'toward']	[1, 1, 1, 1, 1, 1]	['ADP']
902	and then walk straight towards on the diagonal	8	[4]	[{then, towards, on, and}]	['walk']	[1]	['VERB']	[1, 1, 1]	[{straight}, {diagonal}, {the}]	['walk', 'walk', 'on']	[1, 1, 1]	['ADP']
903	and you will reach the destination	6	[4]	[{you, will, destination, and}]	['reach']	[1]	['VERB']	[1]	[{the}]	['reach']	[1]	['VERB']
904	turn by an angle of one thirty five degrees towards your left	12	[3, 2]	[{towards, an, of}, {thirty, one}]	['by', 'degrees']	[1, 1]	['NOUN']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {five}, {left}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
905	and then walk straight that is on the diagonal and you will reach the destination	15	[5, 2, 3]	[{then, and, reach, and, straight}, {that, on}, {you, destination, will}]	['walk', 'straight', 'walk']	[1, 1, 1]	['VERB']	[1, 1, 1, 1]	[{is}, {diagonal}, {the}, {the}]	['walk', 'is', 'on', 'reach']	[1, 1, 1, 1]	['VERB']
906	turn by an angle of ninety degrees towards your left	10	[3]	[{of, towards, an}]	['by']	[1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {ninety}, {left}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
907	and then walk straight	4	[3]	[{and, then, straight}]	['walk']	[1]	['VERB']	[]	[]	[]	[]	[]
908	turn by an angle of ninety degrees towards your left	10	[3]	[{of, an, towards}]	['by']	[1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {ninety}, {left}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
909	walk a few steps straight ahead	6	[2, 2]	[{ahead, steps}, {a, few}]	['walk', 'walk']	[1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
910	then again take a turn towards your left	8	[3, 2]	[{again, turn, then}, {towards, a}]	['take', 'take']	[1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['turn', 'towards']	[1, 1]	['ADP']
911	walk straight till you pass aki and after a few steps youve passed aki	15	[3, 4, 2, 3]	[{straight, pass, after}, {till, aki, you, and}, {passed, few}, {you, aki, ve}]	['walk', 'walk', 'after', 'steps']	[1, 1, 1, 1]	['NOUN']	[1, 1]	[{steps}, {a}]	['walk', 'steps']	[1, 1]	['NOUN']
912	take a turn to left again	6	[2, 2]	[{left, a}, {again, to}]	['take', 'turn']	[1, 1]	['NOUN']	[1]	[{turn}]	['take']	[1]	['VERB']
913	and walk straight you will reach the destination	8	[2, 4]	[{and, straight}, {walk, you, destination, will}]	['reach', 'reach']	[1, 1]	['VERB']	[1]	[{the}]	['reach']	[1]	['VERB']
914	take a turn of forty five degrees towards your left	10	[3]	[{towards, a, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{turn}, {degrees}, {forty}, {five}, {left}, {your}]	['take', 'turn', 'degrees', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
915	and then walk straight across the diagonal you will reach the destination	12	[3, 2, 4]	[{across, and, then}, {straight, diagonal}, {destination, will, you, walk}]	['reach', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1, 1]	[{the}, {the}]	['across', 'reach']	[1, 1]	['VERB']
916	take a turn of one thirty five degrees towards your right	11	[3, 2]	[{towards, of, a}, {thirty, one}]	['take', 'degrees']	[1, 1]	['NOUN']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {five}, {right}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
917	and then walk straight across the diagonal you will reach the destination	12	[3, 2, 4]	[{across, then, and}, {straight, diagonal}, {destination, walk, you, will}]	['reach', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1, 1]	[{the}, {the}]	['across', 'reach']	[1, 1]	['VERB']
918	take a turn of forty five degrees towards your right	10	[3]	[{towards, a, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{turn}, {degrees}, {forty}, {five}, {right}, {your}]	['take', 'turn', 'degrees', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
919	and then walk straight across the diagonal you will reach the destination which is the purple spot	17	[3, 2, 4, 2, 2, 2]	[{then, and, across}, {diagonal, straight}, {destination, will, walk, you}, {is, the}, {spot, which}, {the, purple}]	['reach', 'walk', 'reach', 'reach', 'destination', 'is']	[1, 1, 1, 1, 1, 1]	['VERB']	[1]	[{the}]	['across']	[1]	['ADP']
920	take a turn of one thirty five degree angles towards your left	12	[3, 2, 2]	[{towards, a, of}, {one, thirty}, {degree, five}]	['take', 'angles', 'of']	[1, 1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {angles}, {left}, {your}]	['take', 'turn', 'turn', 'towards']	[1, 1, 1, 1]	['ADP']
921	and then walk straight along walk till you reach the purple spot which is the final destination for you	19	[4, 2, 3, 3, 2, 3]	[{along, reach, and, then}, {straight, walk}, {spot, till, you}, {is, purple, the}, {which, destination}, {the, final, for}]	['walk', 'walk', 'walk', 'reach', 'spot', 'is']	[1, 1, 1, 1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
922	take a turn of forty five degree angle towards your right	11	[2, 2]	[{of, a}, {towards, degree}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{turn}, {angle}, {forty}, {five}, {right}, {your}]	['take', 'turn', 'degree', 'angle', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
923	and then walk straight walk till you reach the purple purple spot which is the destination for you	18	[4, 3, 4, 2, 2]	[{walk, then, reach, and}, {spot, till, you}, {purple, purple, the, is}, {which, destination}, {for, the}]	['walk', 'walk', 'reach', 'spot', 'is']	[1, 1, 1, 1, 1]	['VERB']	[1, 1]	[{straight}, {you}]	['walk', 'destination']	[1, 1]	['NOUN']
924	take a turn of forty five degree angle towards your right	11	[2, 2]	[{of, a}, {towards, degree}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{turn}, {angle}, {forty}, {five}, {right}, {your}]	['take', 'turn', 'degree', 'angle', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
925	and then walk straight across the diagonal the purple spot is the destination so walk till you reach there	19	[3, 2, 2, 4, 2, 3]	[{then, across, and}, {diagonal, straight}, {the, purple}, {walk, spot, destination, walk}, {reach, so}, {till, there, you}]	['is', 'walk', 'is', 'is', 'is', 'walk']	[1, 1, 1, 1, 1, 1]	['VERB']	[1, 1]	[{the}, {the}]	['across', 'is']	[1, 1]	['VERB']
926	take a turn of one thirty five degree angles towards your right	12	[3, 2, 2]	[{a, of, towards}, {thirty, one}, {five, degree}]	['take', 'angles', 'of']	[1, 1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {angles}, {right}, {your}]	['take', 'turn', 'turn', 'towards']	[1, 1, 1, 1]	['ADP']
927	and then walk straight till you reach the purple spot which is the destination for you	16	[4, 3, 3, 2, 2]	[{then, reach, straight, and}, {you, till, spot}, {the, is, purple}, {destination, which}, {the, for}]	['walk', 'walk', 'reach', 'spot', 'is']	[1, 1, 1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
928	turn by an angle of ninety degrees towards your right	10	[3]	[{of, towards, an}]	['by']	[1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{by}, {angle}, {degrees}, {ninety}, {right}, {your}]	['turn', 'turn', 'angle', 'of', 'angle', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
929	walk straight after a few steps	6	[2, 2]	[{straight, steps}, {few, a}]	['walk', 'after']	[1, 1]	['ADP']	[1]	[{after}]	['walk']	[1]	['VERB']
930	take a turn towards your left by ninety degrees	9	[2, 2]	[{turn, by}, {towards, a}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{left}, {your}, {degrees}, {ninety}]	['turn', 'towards', 'take', 'by']	[1, 1, 1, 1]	['ADP']
931	walk straight after you have passed aki	7	[5]	[{straight, you, after, have, aki}]	['walk']	[1]	['VERB']	[1]	[{passed}]	['walk']	[1]	['VERB']
932	take few more steps again ahead	6	[3, 2]	[{again, ahead, steps}, {few, more}]	['take', 'take']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
933	and then take a right turn again	7	[4, 2]	[{turn, and, again, then}, {a, right}]	['take', 'take']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
934	till you reach the purple spot which is the destination	10	[3, 3, 2]	[{spot, you, till}, {is, purple, the}, {destination, which}]	['reach', 'reach', 'spot']	[1, 1, 1]	['NOUN']	[1]	[{the}]	['is']	[1]	['VERB']
935	take a turn of ninety degrees towards your left	9	[3]	[{a, towards, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
936	and walk straight till you reach the purple spot which is destination for you	14	[3, 3, 3, 2]	[{and, straight, reach}, {spot, you, till}, {purple, is, the}, {which, destination}]	['walk', 'walk', 'reach', 'spot']	[1, 1, 1, 1]	['NOUN']	[1, 1]	[{for}, {you}]	['is', 'destination']	[1, 1]	['NOUN']
937	walk straight for a few steps	6	[2, 2]	[{for, straight}, {few, a}]	['walk', 'for']	[1, 1]	['ADP']	[1]	[{steps}]	['walk']	[1]	['VERB']
938	and then take a ninety degree turn towards your left	10	[4, 2]	[{and, degree, turn, then}, {a, ninety}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1]	[{towards}, {left}, {your}]	['take', 'turn', 'towards']	[1, 1, 1]	['ADP']
939	walk straight again till you pass aki	7	[2, 3]	[{again, pass}, {till, you, aki}]	['walk', 'walk']	[1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
940	after you pass aki take a few more steps	9	[3, 2, 2]	[{you, aki, after}, {pass, steps}, {more, few}]	['take', 'take', 'take']	[1, 1, 1]	['VERB']	[1]	[{a}]	['steps']	[1]	['NOUN']
941	and then take a ninety degree turn towards your left	10	[4, 2]	[{then, turn, and, degree}, {a, ninety}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1]	[{towards}, {left}, {your}]	['take', 'turn', 'towards']	[1, 1, 1]	['ADP']
942	and then walk straight till you reach the purple spot which is the destination for you	16	[4, 3, 3, 2, 2]	[{and, then, straight, reach}, {spot, till, you}, {purple, the, is}, {which, destination}, {the, for}]	['walk', 'walk', 'reach', 'spot', 'is']	[1, 1, 1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
943	walk straight after a few few steps	7	[2, 2]	[{after, straight}, {few, a}]	['walk', 'steps']	[1, 1]	['NOUN']	[1, 1]	[{steps}, {few}]	['walk', 'after']	[1, 1]	['ADP']
944	take a turn of ninety degrees towards your left	9	[3]	[{towards, of, a}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
945	and then walk ahead of aki after you pass aki take few more steps	14	[5, 3, 2]	[{then, and, ahead, pass, take}, {aki, you, after}, {few, more}]	['walk', 'walk', 'take']	[1, 1, 1]	['VERB']	[1, 1, 1]	[{of}, {aki}, {steps}]	['walk', 'ahead', 'walk']	[1, 1, 1]	['VERB']
946	and then take a ninety degree turn towards your left	10	[4, 2]	[{degree, and, turn, then}, {a, ninety}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1]	[{towards}, {left}, {your}]	['take', 'turn', 'towards']	[1, 1, 1]	['ADP']
947	walk straight again till you reach the purple spot which is the destination for you	15	[2, 3, 3, 2, 2]	[{again, reach}, {you, spot, till}, {the, purple, is}, {which, destination}, {for, the}]	['walk', 'walk', 'reach', 'spot', 'is']	[1, 1, 1, 1, 1]	['VERB']	[1, 1]	[{straight}, {you}]	['walk', 'destination']	[1, 1]	['NOUN']
948	take a turn of ninety degrees towards your left	9	[3]	[{a, towards, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
949	and then walk straight till you reach the purple spot	10	[4, 3, 2]	[{then, reach, straight, and}, {you, till, spot}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
950	the purple spot is the destination for you	8	[2, 2, 2]	[{the, purple}, {destination, spot}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
951	take a turn of one eighty degrees from the left	10	[3, 2]	[{from, a, of}, {one, eighty}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {degrees}, {left}, {the}]	['take', 'turn', 'turn', 'from']	[1, 1, 1, 1]	['ADP']
952	and then walk straight till you reach the purple spot	10	[4, 3, 2]	[{straight, then, and, reach}, {till, spot, you}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
953	the purple spot is the destination for you	8	[2, 2, 2]	[{the, purple}, {destination, spot}, {for, the}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
954	take a turn of one eighty degrees towards your left	10	[2, 3]	[{a, of}, {one, towards, eighty}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {degrees}, {left}, {your}]	['take', 'turn', 'degrees', 'towards']	[1, 1, 1, 1]	['ADP']
955	and then walk straight till you reach the purple spot	10	[4, 3, 2]	[{and, straight, reach, then}, {you, spot, till}, {purple, the}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
956	the purple spot is the destination for you	8	[2, 2, 2]	[{purple, the}, {destination, spot}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
957	take a turn of forty five degree angles towards your left	11	[3, 2]	[{a, of, towards}, {degree, five}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{turn}, {angles}, {forty}, {left}, {your}]	['take', 'turn', 'angles', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
958	and then walk straight till you walk till you reach the purple spot	13	[4, 3, 3, 2]	[{and, then, straight, walk}, {reach, till, you}, {you, till, spot}, {the, purple}]	['walk', 'walk', 'walk', 'reach']	[1, 1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
959	the purple spot is the destination for you	8	[2, 2, 2]	[{the, purple}, {destination, spot}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
960	take a turn of ninety degrees towards your left	9	[3]	[{towards, of, a}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
961	and then walk straight after a few steps	8	[3, 2, 2]	[{after, then, and}, {straight, steps}, {a, few}]	['walk', 'walk', 'after']	[1, 1, 1]	['ADP']	[]	[]	[]	[]	[]
962	take a turn of ninety degrees again on the left	10	[3, 2]	[{turn, on, again}, {a, of}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{degrees}, {ninety}, {left}, {the}]	['turn', 'of', 'take', 'on']	[1, 1, 1, 1]	['ADP']
963	and then walk straight walk till you pass aki	9	[4, 3]	[{then, and, pass, walk}, {you, aki, till}]	['walk', 'walk']	[1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
964	after you pass aki take few more steps	8	[3, 2, 2]	[{after, you, aki}, {steps, pass}, {more, few}]	['take', 'take', 'take']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
965	and then take a turn towards your left by an angle of ninety degree	14	[4, 2, 2]	[{turn, by, and, then}, {a, towards}, {of, an}]	['take', 'take', 'by']	[1, 1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{left}, {your}, {angle}, {degree}, {ninety}]	['turn', 'towards', 'take', 'angle', 'of']	[1, 1, 1, 1, 1]	['ADP']
966	and then walk straight till you reach the purple spot	10	[4, 3, 2]	[{and, reach, straight, then}, {you, till, spot}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
967	the purple spot is the destination for you	8	[2, 2, 2]	[{purple, the}, {spot, destination}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
968	take a turn of one thirty five angles towards your left	11	[3, 2]	[{towards, of, a}, {thirty, one}]	['take', 'angles']	[1, 1]	['NOUN']	[1, 1, 1, 1, 1]	[{turn}, {angles}, {five}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
969	and then walk straight walk till you reach the purple spot	11	[4, 3, 2]	[{then, walk, reach, and}, {you, spot, till}, {purple, the}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
970	which is the destination for you	6	[2, 2]	[{destination, which}, {the, for}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
971	just walk straight till you reach the purple spot	9	[3, 3, 2]	[{reach, straight, just}, {you, till, spot}, {purple, the}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
972	which is the destination for you	6	[2, 2]	[{destination, which}, {for, the}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
973	take a turn of ninety degrees towards your left	9	[3]	[{a, of, towards}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
974	walk straight for few steps	5	[2]	[{straight, for}]	['walk']	[1]	['VERB']	[1, 1]	[{steps}, {few}]	['walk', 'for']	[1, 1]	['ADP']
975	and then again take a turn of ninety degrees towards your left	12	[4, 3]	[{and, turn, then, again}, {of, a, towards}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{degrees}, {ninety}, {left}, {your}]	['turn', 'of', 'turn', 'towards']	[1, 1, 1, 1]	['ADP']
976	walk straight till you pass aki	6	[2, 3]	[{straight, pass}, {till, aki, you}]	['walk', 'walk']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
977	after you have passed aki take few more steps	9	[4, 2, 2]	[{have, after, you, aki}, {steps, passed}, {few, more}]	['take', 'take', 'take']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
978	and then take a left turn of around ninety degrees	10	[3, 3]	[{turn, then, and}, {left, of, a}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1]	[{degrees}, {around}, {ninety}]	['turn', 'degrees', 'of']	[1, 1, 1]	['ADP']
979	and then walk straight walk till you reach	8	[4, 2]	[{then, and, reach, walk}, {you, till}]	['walk', 'walk']	[1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
980	the purple spot that is the destination for you	9	[3, 2, 2]	[{the, purple, is}, {that, destination}, {for, the}]	['spot', 'spot', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
981	take a turn of one eighty degrees towards your left	10	[2, 3]	[{of, a}, {one, eighty, towards}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {degrees}, {left}, {your}]	['take', 'turn', 'degrees', 'towards']	[1, 1, 1, 1]	['ADP']
982	and then walk straight walk till you reach the purple spot	11	[4, 3, 2]	[{reach, and, walk, then}, {till, you, spot}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
983	that is the destination for you	6	[2, 2]	[{destination, that}, {for, the}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
984	take a turn of forty five degrees towards your left	10	[3]	[{towards, a, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{turn}, {degrees}, {forty}, {five}, {left}, {your}]	['take', 'turn', 'degrees', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
985	and then walk straight	4	[3]	[{then, straight, and}]	['walk']	[1]	['VERB']	[]	[]	[]	[]	[]
986	walk till you reach the purple spot	7	[3, 2]	[{you, till, spot}, {the, purple}]	['walk', 'reach']	[1, 1]	['VERB']	[1]	[{reach}]	['walk']	[1]	['VERB']
987	the purple spot is the destination for you	8	[2, 2, 2]	[{the, purple}, {destination, spot}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
988	take a turn of one eighty degrees towards your left	10	[2, 3]	[{of, a}, {towards, eighty, one}]	['take', 'of']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{turn}, {degrees}, {left}, {your}]	['take', 'turn', 'degrees', 'towards']	[1, 1, 1, 1]	['ADP']
989	and then walk straight after you have walked few steps	10	[3, 5]	[{then, walked, and}, {straight, steps, you, after, have}]	['walk', 'walk']	[1, 1]	['VERB']	[1]	[{few}]	['walked']	[1]	['VERB']
990	take a turn towards your left by an angle of ninety degrees	12	[2, 2, 2]	[{turn, by}, {towards, a}, {of, an}]	['take', 'take', 'by']	[1, 1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{left}, {your}, {angle}, {degrees}, {ninety}]	['turn', 'towards', 'take', 'angle', 'of']	[1, 1, 1, 1, 1]	['ADP']
991	walk straight again	3	[]	[]	[]	[]	[]	[1, 1]	[{again}, {straight}]	['walk', 'walk']	[1, 1]	['VERB']
992	walk till you pass aki	5	[3]	[{till, you, aki}]	['walk']	[1]	['VERB']	[1]	[{pass}]	['walk']	[1]	['VERB']
993	after you have passed aki take few more steps ahead	10	[4, 3, 2]	[{have, aki, you, after}, {ahead, passed, steps}, {more, few}]	['take', 'take', 'take']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
994	and then take a turn of ninety degrees towards your left	11	[3, 3]	[{turn, and, then}, {a, of, towards}]	['take', 'take']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{degrees}, {ninety}, {left}, {your}]	['turn', 'of', 'turn', 'towards']	[1, 1, 1, 1]	['ADP']
995	and walk straight	3	[2]	[{and, straight}]	['walk']	[1]	['VERB']	[]	[]	[]	[]	[]
996	walk till you reach the purple spot	7	[3, 2]	[{till, you, spot}, {the, purple}]	['walk', 'reach']	[1, 1]	['VERB']	[1]	[{reach}]	['walk']	[1]	['VERB']
997	that is the destination for you	6	[2, 2]	[{that, destination}, {for, the}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
998	take a turn of ninety degrees towards your left	9	[3]	[{towards, a, of}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{turn}, {degrees}, {ninety}, {left}, {your}]	['take', 'turn', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1]	['ADP']
999	and then walk straight walk till you reach the purple spot	11	[4, 3, 2]	[{and, then, walk, reach}, {spot, till, you}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
1000	which is the destination for you	6	[2, 2]	[{destination, which}, {the, for}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
1001	take a turn of forty five degrees towards your left	10	[3]	[{a, of, towards}]	['take']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{turn}, {degrees}, {forty}, {five}, {left}, {your}]	['take', 'turn', 'degrees', 'of', 'turn', 'towards']	[1, 1, 1, 1, 1, 1]	['ADP']
1002	and then walk straight walk till you reach the purple spot	11	[4, 3, 2]	[{and, reach, then, walk}, {spot, you, till}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[1]	[{straight}]	['walk']	[1]	['VERB']
1003	that is the destination for you	6	[2, 2]	[{destination, that}, {for, the}]	['is', 'is']	[1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
1004	take a turn of one eighty degrees towards your left after you have taken the turn	16	[2, 3, 2, 4]	[{taken, turn}, {towards, of, a}, {eighty, one}, {turn, you, have, after}]	['take', 'take', 'of', 'take']	[1, 1, 1, 1]	['VERB']	[1, 1, 1, 1]	[{degrees}, {left}, {your}, {the}]	['turn', 'turn', 'towards', 'taken']	[1, 1, 1, 1]	['VERB']
1005	walk straight till you reach the purple spot	8	[2, 3, 2]	[{reach, straight}, {you, till, spot}, {the, purple}]	['walk', 'walk', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
1006	the purple spot is the destination for you	8	[2, 2, 2]	[{purple, the}, {destination, spot}, {the, for}]	['is', 'is', 'is']	[1, 1, 1]	['VERB']	[1]	[{you}]	['destination']	[1]	['NOUN']
