	cleaned_inst_segment	index
1845	walk forward one robot width	431.0
1846	turn ninety degrees to your left	431.0
1847	and then walk forward roughly eight feet	431.0
1848	and then turn ninety degrees to your left	431.0
1849	and walk forward one robot width	431.0
1850	turn ninety degrees to your left	432.0
1851	walk to the face of aki	432.0
1852	turn ninety degrees to your left	432.0
1853	and move one robot space forward	432.0
1854	turn ninety degrees to your right	432.0
1855	and move one robot space forward	432.0
1856	and then turn ninety degrees to your left	432.0
1857	and then move another roughly foot or two	432.0
1858	turn ninety degrees to your right	433.0
1859	and walk half the distance to aki	433.0
1860	turn ninety degrees to your right	434.0
1861	walk to the face of aki	434.0
1862	turn ninety degrees to your left	434.0
1863	walk roughly three robot units forward	434.0
1864	turn ninety degrees to the right	434.0
1865	and walk one robot unit forward	434.0
1866	turn ninety degrees to your left	435.0
1867	and walk half the distance to aki	435.0
1868	turn ninety degrees to your right	436.0
1869	move one robot unit forward	436.0
1870	turn ninety degrees to your left	437.0
1871	walk roughly eight feet	437.0
1872	turn ninety degrees to your left	437.0
1873	and walk one robot width forward	437.0
1874	walk forward to the side of aki	438.0
1875	turn ninety degrees to your left	438.0
1876	and move one robot width forward	438.0
1877	turn ninety degrees to your right	438.0
1878	and move one robot width forward	438.0
1879	turn ninety degrees to your left	438.0
1880	and walk roughly a foot and a half farther forward	438.0
1881	turn ninety degrees to your left	439.0
1882	walk roughly four feet	439.0
1883	turn ninety degrees to your left	439.0
1884	walk five feet plus one robot width	439.0
1885	walk one robot width forward	440.0
1886	turn ninety degrees to your left	440.0
1887	walk eight feet	440.0
1888	turn ninety degrees to your left	440.0
1889	walk one robot width forward	440.0
1890	walk forward to the side of aki	441.0
1891	turn ninety degrees to your right	441.0
1892	walk one robot unit	441.0
1893	turn ninety degrees to your left	441.0
1894	walk two robot units	441.0
1895	turn ninety degrees to your left	441.0
1896	walk one robot unit	441.0
1897	turn ninety degrees to your right	441.0
1898	and walk two robot units	441.0
1899	turn ninety degrees to your left	442.0
1900	walk four feet	442.0
1901	turn ninety degrees to your right	442.0
1902	walk five feet plus one robot width	442.0
1903	turn ninety degrees to your right	443.0
1904	walk forward four feet	443.0
1905	turn ninety degrees to your left	443.0
1906	walk forward five feet plus one robot width	443.0
1907	walk forward four feet	444.0
1908	turn ninety degrees to the left	444.0
1909	walk forward five feet plus one robot width	444.0
1910	walk forward one robot width	445.0
1911	turn ninety degrees to your left	445.0
1912	walk forward eight feet	445.0
1913	turn ninety degrees to your left	445.0
1914	walk forward one robot width	445.0
1915	turn ninety degrees to your left	446.0
1916	walk forward one robot width	446.0
1917	turn ninety degrees to your left	446.0
1918	walk forward eight feet	446.0
1919	turn ninety degrees to your left	446.0
1920	walk forward one robot width	446.0
1922	walk forward one robot width	447.0
1923	turn ninety degrees to your right	447.0
1924	walk forward eight feet	447.0
1925	turn ninety degrees to your right	447.0
1926	walk forward one robot width	447.0
1928	turn a hundred and eighty degrees	448.0
1929	walk forward four feet	448.0
1930	turn ninety degrees to the left	448.0
1931	walk forward five feet plus one robot width	448.0
1933	walk forward three robot lengths	449.0
1934	turn ninety degrees to the right	449.0
1935	walk forward five feet plus one robot width	449.0
1937	walk forward to the side of aki	450.0
1938	turn ninety degrees to the right	450.0
1939	walk forward four feet	450.0
1940	turn ninety degrees to the left	450.0
1941	walk forward one robot width	450.0
1943	turn ninety degrees to the right	451.0
1944	walk forward three robot lengths	451.0
1945	turn ninety degrees to the right	451.0
1946	walk forward five feet plus one robot length	451.0
1948	walk forward three robot lengths	452.0
1949	turn ninety degrees to your right	452.0
1950	walk forward five feet plus one robot length	452.0
1952	walk forward four feet	453.0
1953	turn ninety degrees to your left	453.0
1954	walk forward five feet plus one robot length	453.0
1956	walk forward half the distance to aki	454.0
1958	walk forward one robot width	455.0
1959	turn ninety degrees to the left	455.0
1960	walk forward eight feet	455.0
1961	turn ninety degrees to the left	455.0
1962	walk forward one robot width	455.0
1964	walk forward one robot width	456.0
1965	turn ninety degrees to your right	456.0
1966	walk forward eight feet	456.0
1967	turn ninety degrees to your right	456.0
1968	walk forward one robot width	456.0
1970	turn ninety degrees to your right	457.0
1971	walk forward three robot widths	457.0
1972	turn ninety degrees to your right	457.0
1973	walk forward five feet plus one robot width	457.0
1975	turn ninety degrees to your left	458.0
1976	walk half the distance to aki	458.0
1978	turn ninety degrees to your right	459.0
1979	walk forward one robot width	459.0
1980	turn ninety degrees to your left	459.0
1981	walk forward eight feet	459.0
1982	turn ninety degrees to your left	459.0
1983	walk forward one robot width	459.0
1985	walk half the distance to aki	460.0
1986	turn a hundred and eighty degrees	460.0
1987	and walk half the distance to aki	460.0
1989	turn ninety degrees to your left	461.0
1990	walk forward four feet	461.0
1991	turn ninety degrees to your left	461.0
1992	walk forward five feet plus one robot width	461.0
1994	turn right ninety degrees	462.0
1995	walk forward one robot width	462.0
1996	turn left ninety degrees	462.0
1997	walk forward eight feet	462.0
1998	turn left ninety degrees	462.0
1999	walk forward one robot width	462.0
2001	turn ninety degrees to your right	463.0
2002	walk forward four feet	463.0
2003	turn ninety degrees to your left	463.0
2004	walk forward five feet plus one robot width	463.0
2006	turn ninety degrees to your right	464.0
2007	walk forward three robot widths	464.0
2008	turn ninety degrees to your right	464.0
2009	walk forward five feet plus one robot width	464.0
2011	turn ninety degrees to your right	465.0
2012	walk forward three robot widths	465.0
2013	turn ninety degrees to your right	465.0
2014	walk forward five feet plus one robot width	465.0
2016	stand beside Aki	466.0
2017	and then move two robot positions to the right	466.0
2019	move beside Aki	467.0
2020	and go two robot positions to the right	467.0
2021	go half the distance between you and Aki	468.0
2023	turn around a hundred and eighty degrees	469.0
2024	go towards Aki	469.0
2025	and move one and a half robot positions to the right	469.0
2027	go one and a half robot positions to the right	470.0
2029	move beside Aki	470.0
2030	and move one robot position to the left	470.0
2032	move beside Aki on the right	471.0
2033	and then go one and a half robot positions to the right more	471.0
2035	rotate a hundred and eighty degrees	472.0
2036	and then move one and a half robot positions to the right	472.0
2038	rotate a hundred and eighty degrees to the right	473.0
2039	go three robot paces towards Aki	473.0
2040	and then go one pace forward to the left	473.0
2042	move one robot size to the left	474.0
2043	turn ninety degrees	474.0
2044	and then go straight three robot positions	474.0
2046	rotate a hundred and eighty degrees	475.0
2047	and then go one and a half robot positions	475.0
2049	rotate ninety degrees to the number on the wall the left	476.0
2050	and then move four and a half robot paces	476.0
2051	and then move four and a half robot paces	476.0
2053	move beside Aki to his right side	477.0
2054	and move one robot position over to the right	477.0
2056	move one robot position forward	478.0
2057	turn ninety degrees	478.0
2058	and then go four robot positions to the right	478.0
2060	move half the distance between you and Aki	479.0
2062	move back one robot pace	480.0
2063	turn ninety degrees	480.0
2064	and then move five robot positions forward	480.0
2066	roll back two robot positions	481.0
2067	turn to the right	481.0
2068	and then roll forward four robot positions	481.0
2070	roll forward one robot position	482.0
2071	turn to the right	482.0
2072	and then roll forward four robot positions	482.0
2074	roll half the distance between you and Aki	483.0
2076	turn a hundred and eighty degrees	484.0
2077	roll to the right to Aki	484.0
2078	then turn to the wall	484.0
2079	and move two robot positions forward	484.0
2081	move forward two robot positions	485.0
2082	and then across four robot positions to the right	485.0
2084	move beside Aki	486.0
2085	turn to the right	486.0
2086	and then move two robot positions	486.0
2088	go past Aki	487.0
2089	and then go one and a half more robot positions further	487.0
2091	move behind Aki	489.0
2092	and then go one and a half robot positions towards the wall	489.0
2094	rotate ninety degrees to the right	490.0
2095	and then go half the distance between you and Aki	490.0
2097	move one robot position forward	491.0
2098	turn to the right	491.0
2099	and then move five robot positions to the right	491.0
2101	move forward two robot positions	492.0
2102	turn to the right	492.0
2103	and then move four robot positions to the right	492.0
2105	move to Akis left side	493.0
2106	and go one and a half robot positions to the left	493.0
2108	go behind  Akis back	494.0
2109	and then go one robot position to the right after that	494.0
2111	face Akis front	495.0
2112	and then reverse one robot position	495.0
2114	move beside Aki	496.0
2115	face the same direction as Aki	496.0
2116	and move one and a half robot positions forward	496.0
2118	move forward two robot positions	497.0
2119	turn and	497.0
2120	move four robot positions to the right	497.0
2122	go half the distance between you and Aki	498.0
2124	move in front of Aki	499.0
2125	and go one robot position forward to the right	499.0
2127	move half the distance between you and Aki	500.0
2129	roll forward one robot position	501.0
2130	turn to the right	501.0
2131	and move four robot positions forward to the right	501.0
2133	turn ninety degrees	502.0
2134	and move one and a half robot positions forward	502.0
2136	turn a hundred and eighty degrees	503.0
2137	and move forward six robot positions	503.0
2138	but dont  run into Aki	503.0
2139	turn ninety degrees	503.0
2140	and go forward six robot positions	503.0
2141	and once again dont run into Aki	503.0
2142	move forward one robot position	503.0
2143	turn to the right	503.0
2144	and move forward three robot positions	503.0
2146	turn ninety degrees	504.0
2147	and move half the distance between you and Aki	504.0
2149	turn ninety degrees	505.0
2150	and go five robot positions to the right	505.0
2151	but make sure to avoid Aki as you go around	505.0
2152	move back one robot position	505.0
2153	turn ninety degrees	505.0
2154	and move forward three robot positions	505.0
2156	back up till you touch Aki	506.0
2157	rotate ninety degrees	506.0
2158	and move forward half a robot position	506.0
2160	rotate ninety degrees	507.0
2161	and go half the distance between you and Aki	507.0
2163	go past Aki one robot position	508.0
2165	move forward one robot position	509.0
2166	turn towards the right wall	509.0
2167	and then move forward four robot positions	509.0
2169	move to Akis left side	510.0
2170	and move over half a robot position	510.0
2172	move beside so youre towards Akis further side 	511.0
2173	move over one robot position	511.0
2175	move forward one robot position	512.0
2176	turn ninety degrees	512.0
2177	and move over three robot positions	512.0
2179	move forward till youre beside Aki	513.0
2180	turn towards the wall	513.0
2181	and roll forward one robot position	513.0
2183	turn ninety degrees	514.0
2184	and roll half the distance between you and Aki	514.0
2186	roll towards Aki	515.0
2187	turn to the left	515.0
2188	and move towards the wall one robot position	515.0
2190	roll half the distance between you and Aki	516.0
2192	turn ninety degrees	517.0
2193	roll forward one robot position	517.0
2194	turn to the right wall	517.0
2195	and move forward four robot positions	517.0
2196	you should be lined up side by side by Aki	517.0
2197	roll back two robot positions	517.0
2198	turn ninety degrees	517.0
2199	and then roll backwards three robot positions	517.0
2201	turn ninety degrees	518.0
2202	roll forward two robot positions	518.0
2203	turn a ninety degrees again	518.0
2204	and then roll forward four robot positions	518.0
2206	turn ninety degrees to the left	519.0
2207	and roll forwards six robot positions	519.0
2209	move beside Aki on his furthest side facing in the same direction	520.0
2210	and then move over towards the wall one robot position	520.0
2212	turn ninety degrees	521.0
2213	and go half way of the distance between you and Aki	521.0
2215	roll forward one robot position	522.0
2216	turn ninety degrees to the left	522.0
2217	and then move seven robot positions forward	522.0
2218	turn ninety degrees again towards the wall	522.0
2219	and move one robot position forward	522.0
2221	turn ninety degrees	523.0
2222	roll forward one robot position	523.0
2223	turn ninety degrees towards the right wall	523.0
2224	and roll again forward five robot positions	523.0
2226	turn around so you face Aki	524.0
2227	and roll half the distance separating the two of you	524.0
2229	rotate so youre facing Aki	525.0
2230	move forward four robot positions	525.0
2232	go straight forward till you reach the purple destination	526.0
2234	go backwards then stop	527.0
2235	go backwards then stop	527.0
2236	turn right	527.0
2237	and move forwards	527.0
2239	go forwards till you reach aki	528.0
2240	then turn left	528.0
2241	and proceed straight ahead to the target	528.0
2243	back up slowly till you reach the target	529.0
2245	turn ninety degrees to the left	530.0
2246	then go straight stop	530.0
2247	turn left ninety degrees	530.0
2248	and then proceed straight ahead to the target	530.0
2250	move backwards till you reach aki	531.0
2251	then go around aki	531.0
2252	and keep going straight	531.0
2254	back up till you reach aki	532.0
2255	then turn around aki to the left	532.0
2256	and keep going in that direction till you reach the purple target	532.0
2258	back up till you are parallel with the target	533.0
2259	then rotate to the left ninety degrees	533.0
2260	and go straight ahead	533.0
2262	turn ninety degrees to the right	534.0
2263	go straight ahead then stop	534.0
2264	go straight ahead then stop	534.0
2265	turn again to the left ninety degrees	534.0
2266	and proceed straight ahead	534.0
2268	go straight ahead till you are parallel with the target	535.0
2269	then turn to the left ninety degrees	535.0
2270	and go straight ahead	535.0
2272	turn ninety degrees to the right	536.0
2273	then go straight ahead	536.0
2274	and the target will be directly in front of you	536.0
2275	go straight backwards and eventually you will hit the target	536.0
2276	which is before you reach aki	536.0
2277	turn ninety degrees to the left	536.0
2278	go straight ahead and you will reach the target	536.0
2279	again before you reach the red robot aki	536.0
2280	go straight ahead and you will reach the target which is before aki	536.0
2282	turn ninety degrees to the right	537.0
2283	and then proceed straight ahead to the target	537.0
2285	go straight then stop	538.0
2286	go straight then stop	538.0
2287	turn right ninety degrees	538.0
2288	and go straight again	538.0
2290	go straight back then stop	539.0
2291	go straight back then stop	539.0
2292	turn ninety degrees to the right	539.0
2293	and go straight ahead again	539.0
2295	go straight backwards then stop	540.0
2296	go straight backwards then stop	540.0
2297	turn ninety degrees to the right	540.0
2298	and go straight again	540.0
2300	go back till you are not parallel with aki	541.0
2301	then turn right ninety degrees	541.0
2302	go straight stop	541.0
2303	turn left ninety degrees	541.0
2304	and go straight forward	541.0
2306	turn ninety degrees to the right	542.0
2307	and then go straight ahead	542.0
2309	backup till you are no longer parallel with aki	543.0
2310	then turn right	543.0
2311	go straight once youve passed aki stop	543.0
2312	and turn left ninety degrees	543.0
2313	and go straight	543.0
2315	turn left ninety degrees	544.0
2316	go straight ahead then stop	544.0
2317	go straight ahead then stop	544.0
2318	turn left again	544.0
2319	and proceed straight to the destination	544.0
2321	go straight back till you hit the target	545.0
2323	go back stop	546.0
2324	turn left ninety degrees	546.0
2325	and then go straight forward	546.0
2327	go straight back till you hit aki	547.0
2328	when you hit aki turn one hundred eighty degrees to the left	547.0
2329	and then go straight ahead	547.0
2331	go back in a straight line then stop	548.0
2332	go back in a straight line then stop	548.0
2333	turn left ninety degrees	548.0
2334	and straight ahead	548.0
2336	go straight ahead then stop	549.0
2337	go straight ahead then stop	549.0
2338	turn left ninety degrees	549.0
2339	and go straight ahead	549.0
2341	first turn ninety degrees to the left	550.0
2342	then go straight stop	550.0
2343	turn right ninety degrees	550.0
2344	and proceed straight ahead	550.0
2346	turn ninety degrees to the left	551.0
2347	and go straight ahead	551.0
2349	turn ninety degrees to the right	552.0
2350	proceed till you reach aki	552.0
2351	then go around aki	552.0
2352	and go straight to the target which is right behind aki	552.0
2354	go backwards then stop	553.0
2355	go backwards then stop	553.0
2356	turn ninety degrees to the left	553.0
2357	and go straight ahead	553.0
2359	turn ninety degrees to the right	554.0
2360	and go straight ahead	554.0
2362	go straight ahead then stop	555.0
2363	go straight ahead then stop	555.0
2364	turn right ninety degrees	555.0
2365	and go forward	555.0
2367	turn ninety degrees to the left	556.0
2368	and go straight ahead	556.0
2370	go straight ahead till you hit aki	557.0
2371	then move around aki to the right	557.0
2372	and go straight	557.0
2374	go straight ahead till you are next to aki	558.0
2375	then turn ninety degrees to the left	558.0
2376	and go straight ahead	558.0
2378	turn one hundred and thirty five degrees to the left	559.0
2379	and then go straight ahead	559.0
2381	turn ninety degrees to the left	560.0
2382	go straight till you hit the other robot	560.0
2383	then proceed around the robot to the other side where the target is	560.0
2385	proceed go straight ahead till you reach the red robot	561.0
2386	then turn to the right	561.0
2387	move in a circular fashion around that robot	561.0
2388	and go keep going straight to the target	561.0
2390	turn forty five degrees to the left	562.0
2391	and go straight	562.0
2393	turn forty five degrees to the right	563.0
2394	and go straight	563.0
2396	turn forty five degrees to the left	564.0
2397	and go straight	564.0
2399	go backwards then stop	565.0
2400	go backwards then stop	565.0
2401	turn left ninety degrees	565.0
2402	proceed forward stop again	565.0
2403	make another ninety degree right turn	565.0
2404	and proceed straight ahead	565.0
2406	move backward till you hit aki	566.0
2407	then go around aki to the right stop	566.0
2408	turn left ninety degrees	566.0
2409	and go straight ahead	566.0
2411	move backward till you are no longer parallel with aki	567.0
2412	then turn soft turn ninety degrees to the right	567.0
2413	go forward stop	567.0
2414	turn ninety degrees left	567.0
2415	then forward again again	567.0
2417	go backward then stop	568.0
2418	go backward then stop	568.0
2419	turn right ninety degrees	568.0
2420	and go straight ahead	568.0
2422	go straight ahead then stop	569.0
2423	go straight ahead then stop	569.0
2424	turn right ninety degrees	569.0
2425	and go straight	569.0
2427	turn forty five degrees to the right	570.0
2428	and go straight ahead	570.0
2430	turn forty five degrees to the left	571.0
2431	and go backwards	571.0
2433	turn forty five degrees to the right	572.0
2434	and go forwards	572.0
2436	turn forty five degrees to the left	573.0
2437	and go forward	573.0
2439	go straight forwards and stop before you hit aki	574.0
2441	go forwards past aki stop	575.0
2442	turn left ninety degrees	575.0
2443	go straight stop	575.0
2444	turn left again ninety degrees	575.0
2445	and go forward	575.0
2447	go backward till you completely pass aki then stop	576.0
2448	go backward till you completely pass aki then stop	576.0
2449	turn right	576.0
2450	go forward stop	576.0
2451	turn left ninety degrees	576.0
2452	and go straight ahead	576.0
2454	go backward till you touch aki then stop	577.0
2455	go backward till you touch aki then stop	577.0
2456	rotate ninety degrees right	577.0
2457	and go straight	577.0
2459	turn to the left ninety degrees	578.0
2460	and go straight ahead	578.0
2462	turn forty five degrees to the right	579.0
2463	go straight till you are parallel with aki then stop	579.0
2464	go straight till you are parallel with aki then stop	579.0
2465	rotate ninety degrees to the left	579.0
2466	and go straight	579.0
2468	go straight ahead till you reach the purple destination	580.0
2470	go straight backwards half of the distance between you and aki	581.0
2472	turn one hundred thirty five degrees to the left	582.0
2473	and then go straight	582.0
2475	turn forty five degrees to the right	583.0
2476	go straight till you are parallel with aki then stop	583.0
2477	go straight till you are parallel with aki then stop	583.0
2478	turn ninety degrees to the left	583.0
2479	and go straight	583.0
2481	rotate forty five degrees to the right	584.0
2482	and go straight	584.0
2484	turn one hundred thirty five degrees to the right	585.0
2485	and go straight	585.0
2487	turn one hundred thirty five degrees to the right	586.0
2488	and go straight	586.0
2490	move forward to where aki is dont hit aki	587.0
2491	turn right	587.0
2492	move forward the exact number of spaces	587.0
2493	turn left	587.0
2494	move forward just one robot step	587.0
2496	move forward one robot position stop	588.0
2497	turn right	588.0
2498	move forward six robot positions stop	588.0
2499	turn right	588.0
2500	move forward one robot position stop	588.0
2502	turn right	589.0
2503	move forward two robot positions stop	589.0
2505	turn right one eighty degrees	590.0
2506	move forward three robot positions	590.0
2507	turn left	590.0
2508	move forward five robot positions stop	590.0
2510	turn right one eighty degrees	591.0
2511	move forward two robot positions stop	591.0
2512	turn right	591.0
2513	move forward three robot positions stop	591.0
2515	turn left ninety degrees	592.0
2516	move forward two robot positions stop	592.0
2517	turn left	592.0
2518	move forward three robot positions stop	592.0
2520	turn left ninety degrees	593.0
2521	move forward two robot positions stop	593.0
2523	turn left ninety degrees	594.0
2524	move forward one robot position stop	594.0
2525	turn left ninety degrees	594.0
2526	move forward six robot positions stop	594.0
2527	turn left	594.0
2528	move forward one robot position stop	594.0
2530	move forward three robot positions stop	595.0
2531	turn left	595.0
2532	move forward four robot positions stop	595.0
2534	turn right ninety degrees	596.0
2535	move forward two robot positions stop	596.0
2536	turn right ninety degrees	596.0
2537	move forward three robot positions stop	596.0
2539	move forward two robot positions stop	597.0
2540	turn right ninety degrees	597.0
2541	move forward three robot positions stop	597.0
2543	turn left one eighty degrees	598.0
2544	move forward two robot positions stop	598.0
2545	turn right ninety degrees	598.0
2546	move forward three robot positions stop	598.0
2548	move forward two robot positions stop	599.0
2549	turn right ninety degrees	599.0
2550	move forward three robot positions stop	599.0
2552	move forward two robot positions stop	600.0
2553	turn right ninety degrees	600.0
2554	move forward three robot positions stop	600.0
2556	turn left ninety degrees	601.0
2557	move forward three robot positions stop	601.0
2558	turn left ninety degrees	601.0
2559	move forward four robot positions stop	601.0
2561	turn right ninety degrees	602.0
2562	move forward one robot position stop	602.0
2563	turn left ninety degrees	602.0
2564	move forward five robot positions stop	602.0
2565	turn left ninety degrees	602.0
2566	move forward one robot position stop	602.0
2568	turn left ninety degrees	603.0
2569	move forward two robot positions stop	603.0
2571	move forward one robot position stop	604.0
2572	turn left ninety degrees	604.0
2573	move forward five robot positions stop	604.0
2574	turn left ninety degrees	604.0
2575	move up	604.0
2576	move forward one robot position stop	604.0
2578	move forward one robot position stop	605.0
2579	turn left ninety degrees	605.0
2580	move forward four robot positions stop	605.0
2581	move forward one robot position stop	605.0
2582	turn left ninety degrees	605.0
2583	move forward one robot position stop	605.0
2585	turn right ninety degrees	606.0
2586	move forward two robot positions stop	606.0
2588	turn left one eighty degrees	607.0
2589	move forward two robot positions stop	607.0
2591	turn left ninety degrees	608.0
2592	move forward two robot positions stop	608.0
2594	turn left ninety degrees	609.0
2595	move forward two robot positions stop	609.0
2596	turn right ninety degrees	609.0
2597	move forward four robot positions stop	609.0
2599	turn left ninety degrees	610.0
2600	move forward one robot position	610.0
2601	turn left ninety degrees	610.0
2602	move forward six robot positions	610.0
2603	turn left ninety degrees	610.0
2604	move forward one robot position	610.0
2606	turn left ninety degrees	611.0
2607	move forward three robot positions	611.0
2608	turn left ninety degrees	611.0
2609	move forward five robot positions	611.0
2611	move forward two robot positions stop	612.0
2613	turn left ninety degrees	613.0
2614	move forward one robot position stop	613.0
2615	turn left ninety degrees	613.0
2616	move forward seven robot positions stop	613.0
2617	turn left ninety degrees	613.0
2618	move forward one robot position stop	613.0
2620	turn left one eighty degrees	614.0
2621	move forward robot position move forward two robot positions stop	614.0
2623	turn left ninety degrees	615.0
2624	move forward two robot positions stop	615.0
2625	turn right ninety degrees	615.0
2626	move forward four robot positions stop	615.0
2628	move forward rob one robot position stop	616.0
2629	turn right move ninety degrees	616.0
2630	move forward five robot positions stop	616.0
2631	turn right ninety degrees	616.0
2632	move forward one robot position stop	616.0
2634	turn left ninety degrees	617.0
2635	move forward two robot positions stop	617.0
2637	move forward three robot positions stop	618.0
2638	turn left ninety degrees	618.0
2639	move forward five robot positions stop	618.0
2641	turn left one eighty degrees	619.0
2642	move forward two robot positions stop	619.0
2644	turn left ninety degrees stop	620.0
2645	move forward three robot positions stop	620.0
2646	turn left ninety degrees	620.0
2647	move forward five robot positions stop	620.0
2649	turn right ninety degrees	621.0
2650	move forward two robot positions stop	621.0
2651	turn right ninety degrees	621.0
2652	move forward five robot positions stop	621.0
2654	turn right ninety degrees	622.0
2655	move forward three robot positions stop	622.0
2656	turn left ninety degrees	622.0
2657	move forward five robot positions stop	622.0
2659	move forward three robot positions stop	623.0
2660	turn left	623.0
2661	move forward five robot positions stop	623.0
2663	move forward one robot position stop	624.0
2664	turn left	624.0
2665	move forward seven robot positions stop	624.0
2666	turn left ninety degrees	624.0
2667	move forward one robot position stop	624.0
2669	turn right ninety degrees stop	625.0
2670	move forward two robot positions stop	625.0
2672	turn right ninety degrees	626.0
2673	move forward three robot positions stop	626.0
2674	turn left ninety degrees	626.0
2675	move forward five robot positions stop	626.0
2677	turn left one eighty degrees	627.0
2678	move forward three robot positions stop	627.0
2679	turn left ninety degrees	627.0
2680	move forward five robot positions stop	627.0
2682	turn left ninety degrees stop	628.0
2683	move forward two robot positions stop	628.0
2684	turn right ninety degrees	628.0
2685	move forward five robot positions stop	628.0
2687	turn left ninety degrees	629.0
2688	move forward two robot positions stop	629.0
2689	turn right ninety degrees	629.0
2690	move forward five robot positions stop	629.0
2692	turn right ninety degrees	630.0
2693	move forward two robot positions stop	630.0
2694	turn right ninety degrees	630.0
2695	move forward five robot positions stop	630.0
2697	turn right one robot turn right ninety degrees	631.0
2698	move one robot position	631.0
2699	turn left ninety degrees	631.0
2700	move forward seven robot positions	631.0
2701	turn left ninety degrees	631.0
2702	move forward one robot position stop	631.0
2704	move forward two robot positions stop	632.0
2706	turn left ninety degrees	632.0
2707	turn left ninety degrees	632.0
2708	move forward two robot positions	632.0
2709	turn right ninety degrees	632.0
2710	move forward four robot positions stop	632.0
2712	turn right ninety degrees	633.0
2713	move forward three robot positions	633.0
2714	turn left ninety degrees	633.0
2715	move forward five robot positions stop	633.0
2717	move forward one robot position stop	634.0
2718	turn right ninety degrees	634.0
2719	move forward seven robot positions stop	634.0
2720	turn right ninety degrees	634.0
2721	move forward one robot position stop	634.0
2723	turn right one robot sorry turn right ninety degrees	635.0
2724	move forward one robot position	635.0
2725	turn right ninety degrees	635.0
2726	move forward five robot positions stop	635.0
2728	move forward one robot position stop	636.0
2729	turn right ninety degrees	636.0
2730	move forward seven robot positions stop	636.0
2731	turn right ninety degrees	636.0
2732	move forward one robot position stop	636.0
2734	turn right ninety degrees	637.0
2735	move forward two robot positions stop	637.0
2737	turn right one eighty degrees	638.0
2738	move forward four robot positions stop	638.0
2739	turn left ninety degrees	638.0
2740	move forward five robot positions stop	638.0
2742	move forward two robot positions stop	639.0
2744	turn right ninety degrees	640.0
2745	move forward two robot positions stop	640.0
2747	move forward three robot positions stop	641.0
2748	turn left ninety degrees	641.0
2749	move forward five robot positions stop	641.0
2751	turn right ninety degrees	642.0
2752	move forward one robot position stop	642.0
2753	turn left ninety degrees	642.0
2754	move forward seven robot positions stop	642.0
2755	turn left ninety degrees	642.0
2756	move forward one robot position stop	642.0
2758	turn left ninety degrees	643.0
2759	move forward three robot positions stop	643.0
2760	turn left ninety degrees	643.0
2761	move forward five robot positions stop	643.0
2763	move forward two robot positions stop	644.0
2765	turn right ninety degrees	645.0
2766	move forward one robot position stop	645.0
2767	turn left ninety degrees	645.0
2768	move forward seven robot positions stop	645.0
2769	turn left ninety degrees	645.0
2770	move forward one robot position stop	645.0
2772	turn left ninety degrees	646.0
2773	move forward two robot positions stop	646.0
2774	turn right ninety degrees	646.0
2775	move forward five robot positions stop	646.0
2777	move forward two robot positions stop	647.0
2778	turn right ninety degrees	647.0
2779	move forward five robot positions stop	647.0
2781	move forward one robot position stop	648.0
2782	turn left ninety degrees	648.0
2783	move forward seven robot positions stop	648.0
2784	turn turn left ninety degrees stop	648.0
2785	move forward one robot position stop	648.0
2787	turn left ninety degrees	649.0
2788	move forward one robot position stop	649.0
2789	turn left ninety degrees	649.0
2790	move forward seven robot positions stop	649.0
2791	turn left ninety degrees	649.0
2792	move forward one robot position stop	649.0
2794	the purple octagon goal is to the left of aki	650.0
2795	it is behind you diagonally to your right	650.0
2797	the purple octagon goal is to the left of aki	651.0
2798	you will have to turn around	651.0
2799	once you have turned around it will be a diagonal to your left	651.0
2801	the purple octagon goal is in front of aki and is fairly close to aki	652.0
2802	it is in front of you	652.0
2803	but mostly to your right	652.0
2805	the purple octagon goal is to akis right	653.0
2806	it is behind you it is diagonally behind you	653.0
2807	and to your right	653.0
2809	the purple octagon goal is in front of aki	654.0
2810	you will have to go around aki to get to it	654.0
2811	it is directly to your right	654.0
2813	the purple octagon goal is directly between you and aki	655.0
2814	it is directly behind you	655.0
2815	and directly to the left of aki	655.0
2817	the purple octagon goal is directly behind aki	656.0
2818	it is in front of you	656.0
2819	and diagonally to your right	656.0
2821	the purple octagon goal is between you and aki	657.0
2822	if you turn ninety degrees to your right	657.0
2823	and go straight ahead half way to aki you will be at the goal	657.0
2825	the purple octagon goal is to akis left	658.0
2826	it is diagonally in front of you	658.0
2827	to the right	658.0
2829	the purple octagon goal is in front of aki	659.0
2830	it is behind you	659.0
2831	and to your left diagonally	659.0
2833	the purple octagon goal is on akis right hand side	660.0
2834	it is behind you	660.0
2835	and diagonally to your left	660.0
2837	the purple goal is to akis left hand side	661.0
2838	and it is directly behind you	661.0
2839	but on the other side of aki	661.0
2840	you will have to go around aki to get to the goal	661.0
2842	the purple goal area is in the same place it was in the last room	662.0
2843	its the same place as in room number twelve	662.0
2844	it is directly behind the way aki is facing	662.0
2845	it is behind his back	662.0
2846	to get there you will have to go around him	663.0
2847	and the goal is directly to your left	663.0
2848	the purple goal is exactly between you and aki	663.0
2849	you can get there by going half way towards aki	663.0
2850	it is directly in front of you in the way you are facing	663.0
2852	the purple goal area is to akis left hand side	664.0
2853	it is behind you	664.0
2854	and diagonally to your left	664.0
2856	the purple goal area is exactly between you and aki	665.0
2857	it is to akis right hand side	665.0
2858	and is to your left hand side	665.0
