trans_info	Unnamed: 2	instruction_segment	instruction_segment.1	Instruction	Instruction2
439	a37.trans	 walk roughly four feet 	walk roughly four feet	 walk roughly four feet 	[' walk roughly four feet ']
439	a37.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
439	a37.trans	 walk five feet plus one robot width 	walk five feet plus one robot width	 walk five feet plus one robot width 	[' walk five feet plus one robot width ']
440	a38.trans	 walk one robot width forward 	walk one robot width forward	 walk one robot width forward 	[' walk one robot width forward ']
440	a38.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
440	a38.trans	 walk eight feet 	walk eight feet	 walk eight feet 	[' walk eight feet ']
440	a38.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
440	a38.trans	 walk one robot width forward 	walk one robot width forward	 walk one robot width forward 	[' walk one robot width forward ']
441	a39.trans	 walk forward to the side of aki 	walk forward to the side of aki	 walk forward to the side of aki 	[' walk forward to the side of aki ']
441	a39.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
441	a39.trans	 walk one robot unit 	walk one robot unit	 walk one robot unit 	[' walk one robot unit ']
441	a39.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
441	a39.trans	 walk two robot units 	walk two robot units	 walk two robot units 	[' walk two robot units ']
441	a39.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
441	a39.trans	 walk one robot unit 	walk one robot unit	 walk one robot unit 	[' walk one robot unit ']
441	a39.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
441	a39.trans	 and walk two robot units 	and walk two robot units	 and walk two robot units 	[' and walk two robot units ']
442	a40.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
442	a40.trans	 walk four feet 	walk four feet	 walk four feet 	[' walk four feet ']
442	a40.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
442	a40.trans	 walk five feet plus one robot width 	walk five feet plus one robot width	 walk five feet plus one robot width 	[' walk five feet plus one robot width ']
443	a41.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
443	a41.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
443	a41.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
443	a41.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
444	a42.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
444	a42.trans	 turn ninety degrees to the left 	turn ninety degrees to the left	 turn ninety degrees to the left 	[' turn ninety degrees to the left ']
444	a42.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
445	a43.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
445	a43.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
445	a43.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
445	a43.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
445	a43.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
446	a44.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
446	a44.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
446	a44.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
446	a44.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
446	a44.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
446	a44.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a44.trans				
447	a45.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
447	a45.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
447	a45.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
447	a45.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
447	a45.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a45.trans				
448	a46.trans	 turn a hundred and eighty degrees 	turn a hundred and eighty degrees	 turn a hundred and eighty degrees 	[' turn a hundred and eighty degrees ']
448	a46.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
448	a46.trans	 turn ninety degrees to the left 	turn ninety degrees to the left	 turn ninety degrees to the left 	[' turn ninety degrees to the left ']
448	a46.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a46.trans				
449	a47.trans	 walk forward three robot lengths 	walk forward three robot lengths	 walk forward three robot lengths 	[' walk forward three robot lengths ']
449	a47.trans	 turn ninety degrees to the right 	turn ninety degrees to the right	 turn ninety degrees to the right 	[' turn ninety degrees to the right ']
449	a47.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a47.trans				
450	a48.trans	 walk forward to the side of aki 	walk forward to the side of aki	 walk forward to the side of aki 	[' walk forward to the side of aki ']
450	a48.trans	 turn ninety degrees to the right 	turn ninety degrees to the right	 turn ninety degrees to the right 	[' turn ninety degrees to the right ']
450	a48.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
450	a48.trans	 turn ninety degrees to the left 	turn ninety degrees to the left	 turn ninety degrees to the left 	[' turn ninety degrees to the left ']
450	a48.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a48.trans				
451	a49.trans	 turn ninety degrees to the right 	turn ninety degrees to the right	 turn ninety degrees to the right 	[' turn ninety degrees to the right ']
451	a49.trans	 walk forward three robot lengths 	walk forward three robot lengths	 walk forward three robot lengths 	[' walk forward three robot lengths ']
451	a49.trans	 turn ninety degrees to the right 	turn ninety degrees to the right	 turn ninety degrees to the right 	[' turn ninety degrees to the right ']
451	a49.trans	 walk forward five feet plus one robot length 	walk forward five feet plus one robot length	 walk forward five feet plus one robot length 	[' walk forward five feet plus one robot length ']
	a49.trans				
452	a50.trans	 walk forward three robot lengths 	walk forward three robot lengths	 walk forward three robot lengths 	[' walk forward three robot lengths ']
452	a50.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
452	a50.trans	 walk forward five feet plus one robot length 	walk forward five feet plus one robot length	 walk forward five feet plus one robot length 	[' walk forward five feet plus one robot length ']
	a50.trans				
453	a51.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
453	a51.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
453	a51.trans	 walk forward five feet plus one robot length 	walk forward five feet plus one robot length	 walk forward five feet plus one robot length 	[' walk forward five feet plus one robot length ']
	a51.trans				
454	a52.trans	 walk forward half the distance to aki 	walk forward half the distance to aki	 walk forward half the distance to aki 	[' walk forward half the distance to aki ']
	a52.trans				
455	a53.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
455	a53.trans	 turn ninety degrees to the left 	turn ninety degrees to the left	 turn ninety degrees to the left 	[' turn ninety degrees to the left ']
455	a53.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
455	a53.trans	 turn ninety degrees to the left 	turn ninety degrees to the left	 turn ninety degrees to the left 	[' turn ninety degrees to the left ']
455	a53.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a53.trans				
456	a54.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
456	a54.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
456	a54.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
456	a54.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
456	a54.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a54.trans				
457	a55.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
457	a55.trans	 walk forward three robot widths 	walk forward three robot widths	 walk forward three robot widths 	[' walk forward three robot widths ']
457	a55.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
457	a55.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a55.trans				
458	a56.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
458	a56.trans	 walk half the distance to aki 	walk half the distance to aki	 walk half the distance to aki 	[' walk half the distance to aki ']
	a56.trans				
459	a57.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
459	a57.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
459	a57.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
459	a57.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
459	a57.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
459	a57.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a57.trans				
460	a58.trans	 walk half the distance to aki 	walk half the distance to aki	 walk half the distance to aki 	[' walk half the distance to aki ']
460	a59.trans	 turn a hundred and eighty degrees 	turn a hundred and eighty degrees	 turn a hundred and eighty degrees 	[' turn a hundred and eighty degrees ']
460	a59.trans	 and walk half the distance to aki 	and walk half the distance to aki	 and walk half the distance to aki 	[' and walk half the distance to aki ']
	a59.trans				
461	a60.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
461	a60.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
461	a60.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
461	a60.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a60.trans				
462	a61.trans	 turn right ninety degrees 	turn right ninety degrees	 turn right ninety degrees 	[' turn right ninety degrees ']
462	a61.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
462	a61.trans	 turn left ninety degrees 	turn left ninety degrees	 turn left ninety degrees 	[' turn left ninety degrees ']
462	a61.trans	 walk forward eight feet 	walk forward eight feet	 walk forward eight feet 	[' walk forward eight feet ']
462	a61.trans	 turn left ninety degrees 	turn left ninety degrees	 turn left ninety degrees 	[' turn left ninety degrees ']
462	a61.trans	 walk forward one robot width 	walk forward one robot width	 walk forward one robot width 	[' walk forward one robot width ']
	a61.trans				
463	a62.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
463	a62.trans	 walk forward four feet 	walk forward four feet	 walk forward four feet 	[' walk forward four feet ']
463	a62.trans	 turn ninety degrees to your left 	turn ninety degrees to your left	 turn ninety degrees to your left 	[' turn ninety degrees to your left ']
463	a62.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a62.trans				
464	a63.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
464	a63.trans	 walk forward three robot widths 	walk forward three robot widths	 walk forward three robot widths 	[' walk forward three robot widths ']
464	a63.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
464	a63.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a63.trans				
465	a64.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
465	a64.trans	 walk forward three robot widths 	walk forward three robot widths	 walk forward three robot widths 	[' walk forward three robot widths ']
465	a64.trans	 turn ninety degrees to your right 	turn ninety degrees to your right	 turn ninety degrees to your right 	[' turn ninety degrees to your right ']
465	a64.trans	 walk forward five feet plus one robot width 	walk forward five feet plus one robot width	 walk forward five feet plus one robot width 	[' walk forward five feet plus one robot width ']
	a64.trans				
466	a01.trans	 stand beside Aki 	stand beside Aki	 stand beside Aki 	[' stand beside Aki ']
466	a01.trans	 and then move two robot positions to the right 	and then move two robot positions to the right	and then move two robot positions to the right 	['and then move two robot positions to the right ']
	a01.trans				
467	a02.trans	 move beside Aki 	move beside Aki	 move beside Aki 	[' move beside Aki ']
467	a02.trans	 and go two robot positions to the right 	and go two robot positions to the right	 and go two robot positions to the right 	[' and go two robot positions to the right ']
468	a03.trans	 go half the distance between you and Aki 	go half the distance between you and Aki	 go half the distance between you and Aki 	[' go half the distance between you and Aki ']
	a03.trans				
469	a04.trans	 turn around a hundred and eighty degrees 	turn around a hundred and eighty degrees	 turn around a hundred and eighty degrees 	[' turn around a hundred and eighty degrees ']
469	a04.trans	 go towards Aki 	go towards Aki	 go towards Aki 	[' go towards Aki ']
469	a04.trans	 and move one and a half robot positions to the right 	and move one and a half robot positions to the right	 and move one and a half robot positions to the right 	[' and move one and a half robot positions to the right ']
	a04.trans				
470	a05.trans	 go one and a half robot positions to the right 	go one and a half robot positions to the right	 go one and a half robot positions to the right 	[' go one and a half robot positions to the right ']
	a05.trans				
470	a06.trans	move beside Aki 	move beside Aki	move beside Aki 	['move beside Aki ']
470	a06.trans	 and move one robot position to the left 	and move one robot position to the left	 and move one robot position to the left 	[' and move one robot position to the left ']
	a06.trans				
471	a07.trans	 move beside Aki on the right 	move beside Aki on the right	 move beside Aki on the right 	[' move beside Aki on the right ']
471	a07.trans	 and then go one and a half robot positions to the right more 	and then go one and a half robot positions to the right more	and then go one and a half robot positions to the right more 	['and then go one and a half robot positions to the right more ']
	a07.trans				
472	a08.trans	 rotate a hundred and eighty degrees 	rotate a hundred and eighty degrees	 rotate a hundred and eighty degrees 	[' rotate a hundred and eighty degrees ']
472	a08.trans	 and then move one and a half robot positions to the right 	and then move one and a half robot positions to the right	and then move one and a half robot positions to the right 	['and then move one and a half robot positions to the right ']
	a08.trans				
473	a09.trans	 rotate a hundred and eighty degrees to the right 	rotate a hundred and eighty degrees to the right	 rotate a hundred and eighty degrees to the right 	[' rotate a hundred and eighty degrees to the right ']
473	a09.trans	 go three robot paces towards Aki 	go three robot paces towards Aki	 go three robot paces towards Aki 	[' go three robot paces towards Aki ']
473	a09.trans	 and then go one pace forward to the left 	and then go one pace forward to the left	and then go one pace forward to the left 	['and then go one pace forward to the left ']
	a09.trans				
474	a10.trans	 move one robot size to the left 	move one robot size to the left	 move one robot size to the left 	[' move one robot size to the left ']
474	a10.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
474	a10.trans	 and then go straight three robot positions 	and then go straight three robot positions	and then go straight three robot positions 	['and then go straight three robot positions ']
	a10.trans				
475	a11.trans	 rotate a hundred and eighty degrees 	rotate a hundred and eighty degrees	 rotate a hundred and eighty degrees 	[' rotate a hundred and eighty degrees ']
475	a11.trans	 and then go one and a half robot positions 	and then go one and a half robot positions	and then go one and a half robot positions 	['and then go one and a half robot positions ']
	a11.trans				
476	a12.trans	rotate ninety degrees to the number on the wall the left 	rotate ninety degrees to the number on the wall the left	rotate ninety degrees to the number on the wall the left 	['rotate ninety degrees to the number on the wall the left ']
476	a12.trans	and then move four and a half robot paces	and then move four and a half robot paces	and, move four and a half robot paces	['and
476	a12.trans	and then move four and a half robot paces	and then move four and a half robot paces	and, move four and a half robot paces	 move four and a half robot paces']
	a12.trans				
477	a13.trans	 move beside Aki to his right side 	move beside Aki to his right side	 move beside Aki to his right side 	[' move beside Aki to his right side ']
477	a13.trans	 and move one robot position over to the right 	and move one robot position over to the right	 and move one robot position over to the right 	[' and move one robot position over to the right ']
	a13.trans				
478	a14.trans	 move one robot position forward 	move one robot position forward	 move one robot position forward 	[' move one robot position forward ']
478	a14.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
478	a14.trans	 and then go four robot positions to the right 	and then go four robot positions to the right	and then go four robot positions to the right 	['and then go four robot positions to the right ']
	a14.trans				
479	a15.trans	 move half the distance between you and Aki 	move half the distance between you and Aki	 move half the distance between you and Aki 	[' move half the distance between you and Aki ']
	a15.trans				
480	a16.trans	 move back one robot pace 	move back one robot pace	 move back one robot pace 	[' move back one robot pace ']
480	a16.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
480	a16.trans	 and then move five robot positions forward 	and then move five robot positions forward	and then move five robot positions forward 	['and then move five robot positions forward ']
	a16.trans				
481	a17.trans	 roll back two robot positions 	roll back two robot positions	 roll back two robot positions 	[' roll back two robot positions ']
481	a17.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
481	a17.trans	 and then roll forward four robot positions 	and then roll forward four robot positions	and then roll forward four robot positions 	['and then roll forward four robot positions ']
	a17.trans				
482	a18.trans	 roll forward one robot position 	roll forward one robot position	 roll forward one robot position 	[' roll forward one robot position ']
482	a18.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
482	a18.trans	 and then roll forward four robot positions	and then roll forward four robot positions	and then roll forward four robot positions	['and then roll forward four robot positions']
	a18.trans				
483	a19.trans	 roll half the distance between you and Aki 	roll half the distance between you and Aki	 roll half the distance between you and Aki 	[' roll half the distance between you and Aki ']
	a19.trans				
484	a20.trans	 turn a hundred and eighty degrees 	turn a hundred and eighty degrees	 turn a hundred and eighty degrees 	[' turn a hundred and eighty degrees ']
484	a20.trans	 roll to the right to Aki 	roll to the right to Aki	 roll to the right to Aki 	[' roll to the right to Aki ']
484	a20.trans	 then turn to the wall 	then turn to the wall	and then turn to the wall 	['and then turn to the wall ']
484	a20.trans	 and move two robot positions forward 	and move two robot positions forward	 and move two robot positions forward 	[' and move two robot positions forward ']
	a20.trans				
485	a21.trans	 move forward two robot positions 	move forward two robot positions	 move forward two robot positions 	[' move forward two robot positions ']
485	a21.trans	 and then across four robot positions to the right 	and then across four robot positions to the right	and then across four robot positions to the right 	['and then across four robot positions to the right ']
	a21.trans				
486	a22.trans	 move beside Aki 	move beside Aki	 move beside Aki 	[' move beside Aki ']
486	a22.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
486	a22.trans	 and then move two robot positions 	and then move two robot positions	and then move two robot positions 	['and then move two robot positions ']
	a22.trans				
487	a23.trans	 go past Aki 	go past Aki	 go past Aki 	[' go past Aki ']
487	a23.trans	 and then go one and a half more robot positions further 	and then go one and a half more robot positions further	and then go one and a half more robot positions further 	['and then go one and a half more robot positions further ']
	a23.trans				
489	a24.trans	 move behind Aki 	move behind Aki	 move behind Aki 	[' move behind Aki ']
489	a24.trans	 and then go one and a half robot positions towards the wall 	and then go one and a half robot positions towards the wall	and then go one and a half robot positions towards the wall 	['and then go one and a half robot positions towards the wall ']
	a24.trans				
490	a25.trans	 rotate ninety degrees to the right 	rotate ninety degrees to the right	 rotate ninety degrees to the right 	[' rotate ninety degrees to the right ']
490	a25.trans	 and then go half the distance between you and Aki 	and then go half the distance between you and Aki	and then go half the distance between you and Aki 	['and then go half the distance between you and Aki ']
	a25.trans				
491	a26.trans	 move one robot position forward 	move one robot position forward	 move one robot position forward 	[' move one robot position forward ']
491	a26.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
491	a26.trans	 and then move five robot positions to the right	and then move five robot positions to the right	and then move five robot positions to the right	['and then move five robot positions to the right']
	a26.trans				
492	a27.trans	 move forward two robot positions 	move forward two robot positions	 move forward two robot positions 	[' move forward two robot positions ']
492	a27.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
492	a27.trans	 and then move four robot positions to the right 	and then move four robot positions to the right	and then move four robot positions to the right 	['and then move four robot positions to the right ']
	a27.trans				
493	a28.trans	 move to Aki's left side 	move to Aki's left side	""" move to Akis left side """	"['"" move to Akis left side ""']"
493	a28.trans	 and go one and a half robot positions to the left 	and go one and a half robot positions to the left	 and go one and a half robot positions to the left 	[' and go one and a half robot positions to the left ']
	a28.trans				
494	a29.trans	 go behind /lg/ Aki's back 	go behind /lg/ Aki's back	""" go behind /lg/ Akis back """	"['""  go behind /lg/ Akis back ""']"
494	a29.trans	 and then go one robot position to the right after that 	and then go one robot position to the right after that	and then go one robot position to the right after that 	['and then go one robot position to the right after that ']
	a29.trans				
495	a30.trans	 face Aki's front 	face Aki's front	""" face Akis front """	"['"" face Akis front ""']"
495	a30.trans	 and then reverse one robot position 	and then reverse one robot position	and then reverse one robot position 	['and then reverse one robot position ']
	a30.trans				
496	a31.trans	 move beside Aki 	move beside Aki	 move beside Aki 	[' move beside Aki ']
496	a31.trans	 face the same direction as Aki 	face the same direction as Aki	 face the same direction as Aki 	[' face the same direction as Aki ']
496	a31.trans	 and move one and a half robot positions forward 	and move one and a half robot positions forward	 and move one and a half robot positions forward 	[' and move one and a half robot positions forward ']
	a31.trans				
497	a32.trans	 move forward two robot positions 	move forward two robot positions	 move forward two robot positions 	[' move forward two robot positions ']
497	a32.trans	 turn and 	turn and	 turn and 	[' turn and ']
497	a32.trans	 move four robot positions to the right 	move four robot positions to the right	 move four robot positions to the right 	[' move four robot positions to the right ']
	a32.trans				
498	a33.trans	 go half the distance between you and Aki 	go half the distance between you and Aki	 go half the distance between you and Aki 	[' go half the distance between you and Aki ']
	a33.trans				
499	a34.trans	 move in front of Aki 	move in front of Aki	 move in front of Aki 	[' move in front of Aki ']
499	a34.trans	 and go one robot position forward to the right 	and go one robot position forward to the right	 and go one robot position forward to the right 	[' and go one robot position forward to the right ']
	a34.trans				
500	a35.trans	 move half the distance between you and Aki 	move half the distance between you and Aki	 move half the distance between you and Aki 	[' move half the distance between you and Aki ']
	a35.trans				
501	a36.trans	 roll forward one robot position 	roll forward one robot position	 roll forward one robot position 	[' roll forward one robot position ']
501	a36.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
501	a36.trans	 and move four robot positions forward to the right 	and move four robot positions forward to the right	 and move four robot positions forward to the right 	[' and move four robot positions forward to the right ']
	a36.trans				
502	a37.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
502	a37.trans	 and move one and a half robot positions forward 	and move one and a half robot positions forward	 and move one and a half robot positions forward 	[' and move one and a half robot positions forward ']
	a37.trans				
503	a38.trans	 turn a hundred and eighty degrees 	turn a hundred and eighty degrees	 turn a hundred and eighty degrees 	[' turn a hundred and eighty degrees ']
503	a38.trans	 and move forward six robot positions 	and move forward six robot positions	 and move forward six robot positions 	[' and move forward six robot positions ']
503	a38.trans	but dont /lg/ run into Aki	but dont /lg/ run into Aki	but dont /lg/ run into Aki	['but dont /lg/ run into Aki']
503	a39.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
503	a39.trans	 and go forward six robot positions  	and go forward six robot positions	 and go forward six robot positions  	[' and go forward six robot positions  ']
503	a39.trans	and once again dont run into Aki	and once again dont run into Aki	and once again dont run into Aki	['and once again dont run into Aki']
503	a40.trans	 move forward one robot position 	move forward one robot position	 move forward one robot position 	[' move forward one robot position ']
503	a40.trans	 turn to the right 	turn to the right	 turn to the right 	[' turn to the right ']
503	a40.trans	 and move forward three robot positions 	and move forward three robot positions	 and move forward three robot positions 	[' and move forward three robot positions ']
	a40.trans				
504	a41.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
504	a41.trans	 and move half the distance between you and Aki 	and move half the distance between you and Aki	 and move half the distance between you and Aki 	[' and move half the distance between you and Aki ']
	a41.trans				
505	a42.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
505	a42.trans	 and go five robot positions to the right 	and go five robot positions to the right	 and go five robot positions to the right 	[' and go five robot positions to the right ']
505	a42.trans	but make sure to avoid Aki as you go around	but make sure to avoid Aki as you go around	but make sure to avoid Aki as you go around	['but make sure to avoid Aki as you go around']
505	a43.trans	 move back one robot position 	move back one robot position	 move back one robot position 	[' move back one robot position ']
505	a43.trans	 turn ninety degrees 	turn ninety degrees	 turn ninety degrees 	[' turn ninety degrees ']
505	a43.trans	 and move forward three robot positions 	and move forward three robot positions	 and move forward three robot positions 	[' and move forward three robot positions ']
	a43.trans				
506	a44.trans	 back up till you touch Aki 	back up till you touch Aki	 back up till you touch Aki 	[' back up till you touch Aki ']
506	a44.trans	 rotate ninety degrees 	rotate ninety degrees	 rotate ninety degrees 	[' rotate ninety degrees ']
506	a44.trans	 and move forward half a robot position 	and move forward half a robot position	 and move forward half a robot position 	[' and move forward half a robot position ']
	a44.trans				
507	a45.trans	 rotate ninety degrees 	rotate ninety degrees	 rotate ninety degrees 	[' rotate ninety degrees ']
507	a45.trans	 and go half the distance between you and Aki 	and go half the distance between you and Aki	 and go half the distance between you and Aki 	[' and go half the distance between you and Aki ']
	a45.trans				
508	a46.trans	 go past Aki one robot position 	go past Aki one robot position	 go past Aki one robot position 	[' go past Aki one robot position ']
	a46.trans				
509	a47.trans	 move forward one robot position 	move forward one robot position	 move forward one robot position 	[' move forward one robot position ']
509	a47.trans	 turn towards the right wall 	turn towards the right wall	 turn towards the right wall 	[' turn towards the right wall ']
509	a47.trans	 and then move forward four robot positions 	and then move forward four robot positions	and then move forward four robot positions 	['and then move forward four robot positions ']
	a47.trans				
510	a48.trans	 move to Aki's left side 	move to Aki's left side	""" move to Akis left side """	"['"" move to Akis left side ""']"
510	a48.trans	 and move over half a robot position 	and move over half a robot position	 and move over half a robot position 	[' and move over half a robot position ']
	a48.trans				
511	a49.trans	 move beside so you're towards Aki's further side /lg/ 	move beside so you're towards Aki's further side /lg/	""" move beside so youre towards Akis further side /lg/ """	"['"" move beside so youre towards Akis further side /lg/ ""']"
511	a49.trans	 move over one robot position 	move over one robot position	 move over one robot position 	[' move over one robot position ']
	a49.trans				
512	a50.trans	 move forward one robot position 	move forward one robot position	 move forward one robot position 	[' move forward one robot position ']
