	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP	index	depSum_p	depSum_k	headSum_p	headSum_k	cohesion	cohesion_norm	ifmt	inst_len	ifmt_norm
1291	mok go forward	3	[2]	[{forward, mok}]	['go']	[1]	['VERB']	[]	[]	[]	[]	[]	376.0	0	2	0	1	2	0.67	10.0	18.0	0.56
1292	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	378.0	1	0	1	0	-1	-0.5	5.0	15.0	0.33
1293	go forward till hit aki	5	[2, 2]	[{forward, hit}, {till, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	378.0	0	4	0	2	4	0.8	3.0	12.0	0.25
1294	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	379.0	1	0	1	0	-1	-0.5	8.0	24.0	0.33
1295	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	380.0	1	2	1	1	1	0.25	4.0	16.0	0.25
1296	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	380.0	1	0	1	0	-1	-0.5	6.0	18.0	0.33
1297	go forward a foot	4	[2]	[{foot, forward}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	381.0	1	2	1	1	1	0.25	4.0	13.0	0.31
1298	aki turn left	3	[2]	[{left, aki}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	381.0	0	2	0	1	2	0.67	4.0	16.0	0.25
1299	go forward three feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	381.0	1	2	1	1	1	0.25	10.0	35.0	0.29
1300	mok go backwards ten feet	5	[3]	[{mok, backwards, feet}]	['go']	[1]	['VERB']	[1]	[{ten}]	['go']	[1]	['VERB']	381.0	1	3	1	1	2	0.4	5.0	23.0	0.22
1301	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	382.0	0	2	0	1	2	0.67	9.0	36.0	0.25
1302	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	382.0	1	2	1	1	1	0.25	6.0	26.0	0.23
1303	mok reverse three feet	4	[2]	[{mok, feet}]	['reverse']	[1]	['VERB']	[1]	[{three}]	['reverse']	[1]	['VERB']	382.0	1	2	1	1	1	0.25	7.0	21.0	0.33
1304	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	382.0	0	2	0	1	2	0.67	2.0	7.0	0.29
1305	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	382.0	1	2	1	1	1	0.25	1.0	15.0	0.07
1306	aki turn left	3	[2]	[{left, aki}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	382.0	0	2	0	1	2	0.67	7.0	17.0	0.41
1307	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	383.0	1	2	1	1	1	0.25	11.0	21.0	0.52
1308	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	383.0	0	2	0	1	2	0.67	1.0	10.0	0.1
1309	go forward ten feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{ten}]	['go']	[1]	['VERB']	384.0	1	2	1	1	1	0.25	6.0	26.0	0.23
1310	mok do a one eighty	5	[3]	[{mok, eighty, one}]	['do']	[1]	['VERB']	[1]	[{a}]	['do']	[1]	['VERB']	384.0	1	3	1	1	2	0.4	8.0	27.0	0.3
1311	go forward till you hit aki	6	[2, 3]	[{hit, forward}, {you, aki, till}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	384.0	0	5	0	2	5	0.83	9.0	17.0	0.53
1312	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	384.0	1	0	1	0	-1	-0.5	5.0	8.0	0.62
1313	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	384.0	1	2	1	1	1	0.25	11.0	17.0	0.65
1314	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	384.0	1	0	1	0	-1	-0.5	10.0	27.0	0.37
1315	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	389.0	1	2	1	1	1	0.25	7.0	17.0	0.41
1316	aki move forward two feet	5	[3]	[{aki, forward, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	390.0	1	3	1	1	2	0.4	-1.0	6.0	-0.17
1317	mok reverse ten feet	4	[2]	[{feet, mok}]	['reverse']	[1]	['VERB']	[1]	[{ten}]	['reverse']	[1]	['VERB']	390.0	1	2	1	1	1	0.25	5.0	15.0	0.33
1318	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	390.0	0	2	0	1	2	0.67	12.0	26.0	0.46
1319	go forward till you hit aki	6	[2, 3]	[{hit, forward}, {you, till, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	390.0	0	5	0	2	5	0.83	8.0	20.0	0.4
1320	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	390.0	1	0	1	0	-1	-0.5	0.0	5.0	0.0
1321	go forward three feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	390.0	1	2	1	1	1	0.25	6.0	16.0	0.38
1322	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	391.0	1	0	1	0	-1	-0.5	13.0	30.0	0.43
1323	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	391.0	1	2	1	1	1	0.25	7.0	19.0	0.37
1324	mok go forward three feet	5	[3]	[{feet, mok, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	391.0	1	3	1	1	2	0.4	15.0	37.0	0.41
1325	mok do a one eighty	5	[3]	[{mok, eighty, one}]	['do']	[1]	['VERB']	[1]	[{a}]	['do']	[1]	['VERB']	391.0	1	3	1	1	2	0.4	11.0	27.0	0.41
1326	go forward till you hit aki	6	[2, 3]	[{hit, forward}, {you, till, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	391.0	0	5	0	2	5	0.83	5.0	10.0	0.5
1327	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	391.0	1	0	1	0	-1	-0.5	5.0	8.0	0.62
1328	go forward three feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	392.0	1	2	1	1	1	0.25	2.0	11.0	0.18
1329	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	392.0	1	0	1	0	-1	-0.5	10.0	20.0	0.5
1330	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	392.0	1	2	1	1	1	0.25	4.0	21.0	0.19
1331	mok do a one eighty	5	[3]	[{one, mok, eighty}]	['do']	[1]	['VERB']	[1]	[{a}]	['do']	[1]	['VERB']	392.0	1	3	1	1	2	0.4	7.0	8.0	0.88
1332	go forward till you hit aki	6	[2, 3]	[{forward, hit}, {till, you, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	392.0	0	5	0	2	5	0.83	5.0	8.0	0.62
1333	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	392.0	1	0	1	0	-1	-0.5	5.0	12.0	0.42
1334	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	393.0	1	2	1	1	1	0.25	10.0	20.0	0.5
1335	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	393.0	1	0	1	0	-1	-0.5	3.0	22.0	0.14
1336	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	393.0	1	2	1	1	1	0.25	8.0	18.0	0.44
1337	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	394.0	0	2	0	1	2	0.67	8.0	13.0	0.62
1338	go forward till you hit aki	6	[2, 3]	[{forward, hit}, {till, you, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	394.0	0	5	0	2	5	0.83	10.0	20.0	0.5
1339	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	394.0	1	0	1	0	-1	-0.5	7.0	27.0	0.26
1340	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	394.0	1	2	1	1	1	0.25	9.0	17.0	0.53
1341	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	394.0	1	0	1	0	-1	-0.5	5.0	13.0	0.38
1342	go forward a foot	4	[2]	[{foot, forward}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	395.0	1	2	1	1	1	0.25	-1.0	7.0	-0.14
1343	aki reverse four feet	4	[2]	[{aki, feet}]	['reverse']	[1]	['VERB']	[1]	[{four}]	['reverse']	[1]	['VERB']	395.0	1	2	1	1	1	0.25	6.0	12.0	0.5
1344	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	395.0	0	2	0	1	2	0.67	8.0	25.0	0.32
1345	move forward ten feet	4	[2]	[{forward, feet}]	['move']	[1]	['VERB']	[1]	[{ten}]	['move']	[1]	['VERB']	395.0	1	2	1	1	1	0.25	3.0	13.0	0.23
1346	mok go forward till you hit aki	7	[3, 3]	[{hit, mok, forward}, {you, till, aki}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	395.0	0	6	0	2	6	0.86	3.0	17.0	0.18
1347	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	395.0	1	0	1	0	-1	-0.5	5.0	11.0	0.45
1348	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	396.0	1	2	1	1	1	0.25	5.0	17.0	0.29
1349	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	397.0	1	0	1	0	-1	-0.5	5.0	10.0	0.5
1350	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	397.0	1	2	1	1	1	0.25	8.0	18.0	0.44
1351	mok do a one eighty	5	[3]	[{mok, one, eighty}]	['do']	[1]	['VERB']	[1]	[{a}]	['do']	[1]	['VERB']	398.0	1	3	1	1	2	0.4	2.0	15.0	0.13
1352	go forward till you hit aki	6	[2, 3]	[{hit, forward}, {aki, till, you}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	398.0	0	5	0	2	5	0.83	2.0	18.0	0.11
1353	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	398.0	1	0	1	0	-1	-0.5	5.0	15.0	0.33
1354	go forward three feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	398.0	1	2	1	1	1	0.25	3.0	10.0	0.3
1355	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	398.0	1	0	1	0	-1	-0.5	0.0	5.0	0.0
1356	go forward a foot	4	[2]	[{foot, forward}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	398.0	1	2	1	1	1	0.25	5.0	11.0	0.45
1357	mok go forward three feet	5	[3]	[{feet, forward, mok}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	399.0	1	3	1	1	2	0.4	0.0	5.0	0.0
1358	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	399.0	0	2	0	1	2	0.67	4.0	7.0	0.57
1359	go forward three feet	4	[2]	[{forward, feet}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	399.0	1	2	1	1	1	0.25	9.0	25.0	0.36
1360	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	400.0	0	2	0	1	2	0.67	6.0	22.0	0.27
1361	go forward till you hit aki	6	[2, 3]	[{hit, forward}, {you, aki, till}]	['go', 'go']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	400.0	0	5	0	2	5	0.83	2.0	12.0	0.17
1362	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	401.0	1	0	1	0	-1	-0.5	6.0	16.0	0.38
1363	go forward three feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{three}]	['go']	[1]	['VERB']	401.0	1	2	1	1	1	0.25	6.0	13.0	0.46
1364	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	401.0	1	0	1	0	-1	-0.5	6.0	16.0	0.38
1365	go forward a foot	4	[2]	[{forward, foot}]	['go']	[1]	['VERB']	[1]	[{a}]	['go']	[1]	['VERB']	401.0	1	2	1	1	1	0.25	3.0	8.0	0.38
1366	aki reverse three feet	4	[2]	[{feet, aki}]	['reverse']	[1]	['VERB']	[1]	[{three}]	['reverse']	[1]	['VERB']	401.0	1	2	1	1	1	0.25	0.0	11.0	0.0
1367	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	401.0	0	2	0	1	2	0.67	16.0	47.0	0.34
1368	go forward ten feet	4	[2]	[{feet, forward}]	['go']	[1]	['VERB']	[1]	[{ten}]	['go']	[1]	['VERB']	402.0	1	2	1	1	1	0.25	6.0	20.0	0.3
1369	mok you should turn about five degrees to your right	10	[5]	[{should, mok, you, degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1, 1]	[{about}, {five}, {right}, {your}]	['degrees', 'turn', 'turn', 'to']	[1, 1, 1, 1]	['ADP']	402.0	4	5	4	1	1	0.1	4.0	16.0	0.25
1370	and then walk up two and a half feet	9	[4, 2]	[{up, feet, then, and}, {half, and}]	['walk', 'feet']	[1, 1]	['NOUN']	[1, 1]	[{a}, {two}]	['two', 'walk']	[1, 1]	['VERB']	402.0	2	6	2	2	4	0.44	0.0	17.0	0.0
1371	mok you should turn ninety degrees to your right	9	[5]	[{you, mok, should, degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	402.0	3	5	3	1	2	0.22	6.0	14.0	0.43
1372	walk all the way to aki	6	[3]	[{all, the, aki}]	['walk']	[1]	['VERB']	[1, 1]	[{way}, {to}]	['walk', 'way']	[1, 1]	['NOUN']	402.0	2	3	2	1	1	0.17	3.0	9.0	0.33
1373	then turn ninety degrees to your right again	8	[4]	[{then, degrees, to, again}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	402.0	3	4	3	1	1	0.12	0.0	27.0	0.0
1374	and walk roughly roughly four feet straight	7	[2, 2]	[{straight, and}, {roughly, roughly}]	['walk', 'feet']	[1, 1]	['NOUN']	[1, 1]	[{four}, {feet}]	['straight', 'walk']	[1, 1]	['VERB']	403.0	2	4	2	2	2	0.29	2.0	28.0	0.07
1375	and then turn ninety degrees to your left	8	[4]	[{then, and, to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	403.0	3	4	3	1	1	0.12	3.0	15.0	0.2
1376	and walk the width of a robot	7	[2, 2]	[{and, width}, {the, of}]	['walk', 'walk']	[1, 1]	['VERB']	[1, 1]	[{robot}, {a}]	['width', 'of']	[1, 1]	['ADP']	404.0	2	4	2	2	2	0.29	3.0	15.0	0.2
1377	mok you should walk forward to aki	7	[5]	[{forward, to, should, mok, you}]	['walk']	[1]	['VERB']	[1]	[{aki}]	['walk']	[1]	['VERB']	404.0	1	5	1	1	4	0.57	6.0	16.0	0.38
1378	turn ninety degrees to your left	6	[2]	[{to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	404.0	3	2	3	1	-1	-0.17	6.0	14.0	0.43
1379	and then walk forward the width	6	[4]	[{forward, then, and, width}]	['walk']	[1]	['VERB']	[1]	[{the}]	['walk']	[1]	['VERB']	404.0	1	4	1	1	3	0.5	5.0	13.0	0.38
1380	looks roughly three feet maybe four feet	7	[2]	[{feet, feet}]	['looks']	[1]	['VERB']	[1, 1, 1, 1]	[{roughly}, {three}, {maybe}, {four}]	['feet', 'looks', 'feet', 'looks']	[1, 1, 1, 1]	['VERB']	404.0	4	2	4	1	-2	-0.29	8.0	21.0	0.38
1381	and then turn ninety degrees to your right	8	[4]	[{then, and, to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	404.0	3	4	3	1	1	0.12	6.0	7.0	0.86
1382	and move forward width of a robot	7	[3]	[{and, forward, width}]	['move']	[1]	['VERB']	[1, 1, 1]	[{of}, {robot}, {a}]	['move', 'width', 'of']	[1, 1, 1]	['ADP']	405.0	3	3	3	1	0	0.0	0.0	5.0	0.0
1383	mok you should turn a hundred and eighty degrees	9	[4, 3]	[{degrees, mok, should, you}, {a, and, eighty}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	405.0	1	7	1	2	6	0.67	11.0	26.0	0.42
1384	and then move half the distance towards aki	8	[3, 3]	[{and, distance, then}, {towards, half, the}]	['move', 'move']	[1, 1]	['VERB']	[1]	[{aki}]	['distance']	[1]	['NOUN']	405.0	1	6	1	2	5	0.62	8.0	19.0	0.42
1385	mok you should turn a hundred and eighty degrees	9	[4, 3]	[{you, should, degrees, mok}, {a, eighty, and}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	405.0	1	7	1	2	6	0.67	7.0	18.0	0.39
1386	walk all the way to aki	6	[3]	[{the, aki, all}]	['walk']	[1]	['VERB']	[1, 1]	[{way}, {to}]	['walk', 'way']	[1, 1]	['NOUN']	405.0	2	3	2	1	1	0.17	1.0	13.0	0.08
1387	turn ninety degrees to your right	6	[2]	[{degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	405.0	3	2	3	1	-1	-0.17	7.0	13.0	0.54
1388	walk roughly four feet	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{feet}, {roughly}, {four}]	['walk', 'feet', 'walk']	[1, 1, 1]	['VERB']	406.0	3	0	3	0	-3	-0.75	0.0	7.0	0.0
1389	and turn ninety degrees to your left	7	[3]	[{to, degrees, and}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	406.0	3	3	3	1	0	0.0	-3.0	30.0	-0.1
1390	and walk forward the width of a robot	8	[3, 2]	[{width, and, forward}, {the, of}]	['walk', 'walk']	[1, 1]	['VERB']	[1, 1]	[{robot}, {a}]	['width', 'of']	[1, 1]	['ADP']	406.0	2	5	2	2	3	0.38	13.0	32.0	0.41
1391	you should turn ninety degrees to your right	8	[4]	[{you, should, degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	407.0	3	4	3	1	1	0.12	9.0	22.0	0.41
1392	walk the length of one robot	6	[2]	[{of, the}]	['walk']	[1]	['VERB']	[1, 1, 1]	[{length}, {robot}, {one}]	['walk', 'length', 'of']	[1, 1, 1]	['ADP']	407.0	3	2	3	1	-1	-0.17	8.0	25.0	0.32
1393	you should turn ninety degrees to your right	8	[4]	[{you, to, degrees, should}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	407.0	3	4	3	1	1	0.12	8.0	14.0	0.57
1394	then walk up next to aki	6	[3]	[{up, then, next}]	['walk']	[1]	['VERB']	[1, 1]	[{to}, {aki}]	['walk', 'next']	[1, 1]	['ADV']	407.0	2	3	2	1	1	0.17	9.0	26.0	0.35
1395	then walk one unit farther one robot width farther straight forward	11	[2, 2, 2]	[{then, unit}, {one, width}, {forward, robot}]	['walk', 'walk', 'unit']	[1, 1, 1]	['NOUN']	[1, 1, 1, 1]	[{farther}, {one}, {farther}, {straight}]	['robot', 'width', 'forward', 'width']	[1, 1, 1, 1]	['NOUN']	407.0	4	6	4	3	2	0.18	-1.0	6.0	-0.17
1396	then turn ninety degrees to your left	7	[3]	[{to, degrees, then}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	407.0	3	3	3	1	0	0.0	0.0	18.0	0.0
1397	walk one robot unit forward	5	[2, 2]	[{unit, forward}, {one, robot}]	['walk', 'walk']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	407.0	0	4	0	2	4	0.8	2.0	8.0	0.25
1398	turn ninety degrees to your right	6	[2]	[{degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	407.0	3	2	3	1	-1	-0.17	11.0	39.0	0.28
1399	and walk forward roughly one and a half robot units	10	[3, 3, 2]	[{and, forward, units}, {roughly, and, half}, {one, robot}]	['walk', 'units', 'walk']	[1, 1, 1]	['VERB']	[1]	[{a}]	['one']	[1]	['NUM']	407.0	1	8	1	3	7	0.7	3.0	28.0	0.11
1400	mok you should turn ninety degrees to your right	9	[5]	[{degrees, to, you, mok, should}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	409.0	3	5	3	1	2	0.22	3.0	11.0	0.27
1401	walk one robot width forward	5	[2]	[{forward, robot}]	['walk']	[1]	['VERB']	[1, 1]	[{width}, {one}]	['walk', 'width']	[1, 1]	['NOUN']	409.0	2	2	2	1	0	0.0	8.0	28.0	0.29
1402	then turn ninety degrees to your right	7	[3]	[{to, degrees, then}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	409.0	3	3	3	1	0	0.0	3.0	12.0	0.25
1403	and walk up right next to aki	7	[4]	[{and, to, up, next}]	['walk']	[1]	['VERB']	[1, 1]	[{right}, {aki}]	['walk', 'walk']	[1, 1]	['VERB']	409.0	2	4	2	1	2	0.29	1.0	13.0	0.08
1404	then move continue one more robot width forward	8	[3, 3]	[{then, move, width}, {forward, one, robot}]	['continue', 'continue']	[1, 1]	['VERB']	[1]	[{more}]	['width']	[1]	['NOUN']	409.0	1	6	1	2	5	0.62	1.0	9.0	0.11
1405	then turn ninety degrees to your left	7	[3]	[{to, degrees, then}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	409.0	3	3	3	1	0	0.0	-3.0	4.0	-0.75
1406	walk one robot unit forward	5	[2, 2]	[{unit, forward}, {one, robot}]	['walk', 'walk']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	409.0	0	4	0	2	4	0.8	5.0	13.0	0.38
1407	and then turn ninety degrees to your right	8	[4]	[{degrees, then, and, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	409.0	3	4	3	1	1	0.12	4.0	23.0	0.17
1408	and then walk roughly one and a half robot units forward	11	[4, 3, 2]	[{forward, and, then, units}, {and, roughly, half}, {robot, one}]	['walk', 'units', 'walk']	[1, 1, 1]	['VERB']	[1]	[{a}]	['one']	[1]	['NUM']	410.0	1	9	1	3	8	0.73	1.0	13.0	0.08
1409	turn ninety degrees to your left	6	[2]	[{degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	410.0	3	2	3	1	-1	-0.17	1.0	20.0	0.05
1410	walk till you are right next to aki	8	[3, 2]	[{till, next, you}, {to, right}]	['walk', 'are']	[1, 1]	['VERB']	[1, 1]	[{are}, {aki}]	['walk', 'next']	[1, 1]	['ADV']	410.0	2	5	2	2	3	0.38	3.0	6.0	0.5
1411	then turn ninety degrees to your left	7	[3]	[{to, degrees, then}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	410.0	3	3	3	1	0	0.0	0.0	16.0	0.0
1412	move one robot unit forward	5	[2, 2]	[{forward, unit}, {robot, one}]	['move', 'move']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	410.0	0	4	0	2	4	0.8	8.0	14.0	0.57
1413	turn ninety degrees to your right	6	[2]	[{degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	410.0	3	2	3	1	-1	-0.17	2.0	23.0	0.09
1414	move one robot unit forward	5	[2, 2]	[{unit, forward}, {one, robot}]	['move', 'move']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	410.0	0	4	0	2	4	0.8	14.0	41.0	0.34
1415	turn ninety degrees to your left	6	[2]	[{to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	411.0	3	2	3	1	-1	-0.17	1.0	4.0	0.25
1416	and walk roughly two more feet	6	[2, 2]	[{feet, and}, {more, roughly}]	['walk', 'feet']	[1, 1]	['NOUN']	[1]	[{two}]	['walk']	[1]	['VERB']	411.0	1	4	1	2	3	0.5	1.0	16.0	0.06
1417	walk to aki	3	[]	[]	[]	[]	[]	[1, 1]	[{to}, {aki}]	['walk', 'walk']	[1, 1]	['VERB']	411.0	2	0	2	0	-2	-0.67	7.0	22.0	0.32
1418	turn ninety degrees to your right	6	[2]	[{degrees, to}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	411.0	3	2	3	1	-1	-0.17	1.0	6.0	0.17
1419	walk one robot unit forward	5	[2, 2]	[{unit, forward}, {one, robot}]	['walk', 'walk']	[1, 1]	['VERB']	[]	[]	[]	[]	[]	411.0	0	4	0	2	4	0.8	9.0	18.0	0.5
